#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/1080p/base_debug.csv", "poses_csv": "Preliminary_report/runs/1080p/base_poses.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "sha256": "952be5b3ae075e7a682e9f0df1b90719a2f720999e5137c5c416f83951012924"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "sha256": "60a5e06a6e4c7d03766a5d0ec880f181abc2f6a8088620e79cc531b1f1b6642c"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766337738.886475}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx,t_read_ms,t_gray_ms,t_detect_ms,t_reproj_ms,t_ransac_ms,t_fuse_ms,t_ekf_ms,t_hud_ms,t_log_ms,t_total_ms
1766337739.109945,39945.752,7,7,37.336,0.00000,0.016,0.187,49.525,1304.0,0.6209,37.336,0.0500,5.000,0,0,,,,,,,0.022,0.885,53.637,3.078,1.495,0.471,0.000,53.250,0.059,113.162
1766337739.225367,8.518,7,7,37.022,0.00000,0.016,0.197,48.790,1256.1,0.6267,37.022,0.0500,5.000,0,0,,,,,,,4.124,0.565,48.668,0.690,1.578,0.570,0.000,58.831,0.071,115.297
1766337739.343693,7.541,6,6,37.930,0.00000,0.019,0.222,48.560,1364.6,0.6457,37.930,0.0500,5.000,0,0,,,,,,,21.328,0.777,54.518,0.620,1.579,0.577,0.000,38.452,0.070,118.210
1766337739.519312,10.139,7,7,37.334,0.00000,0.016,0.186,47.321,1303.6,0.6213,37.334,0.0500,5.000,0,0,,,,,,,1.604,0.390,125.193,1.229,3.265,1.113,0.000,41.783,0.313,175.476
1766337739.716315,5.004,7,7,37.336,0.00000,0.016,0.188,48.148,1302.8,0.6215,37.336,0.0500,5.000,0,0,,,,,,,25.679,0.647,72.629,0.948,2.547,0.858,0.000,93.012,0.114,196.712
1766337739.898381,5.089,6,6,37.958,0.00000,0.019,0.221,50.393,1365.7,0.6452,37.958,0.0500,5.000,0,0,,,,,,,25.343,0.760,115.696,0.862,2.231,0.798,0.000,35.779,0.084,181.929
1766337740.016342,6.075,7,7,37.355,0.00000,0.016,0.187,51.325,1304.0,0.6212,37.355,0.0500,5.000,0,0,,,,,,,7.904,0.471,57.902,0.803,2.145,0.691,0.000,47.508,0.083,117.835
1766337740.121183,7.583,7,7,37.342,0.00000,0.016,0.188,52.398,1303.9,0.6215,37.342,0.0500,5.000,0,0,,,,,,,21.835,0.530,52.203,0.640,1.807,0.589,0.000,26.878,0.059,104.737
1766337740.221296,10.150,7,7,37.349,0.00000,0.017,0.187,53.386,1303.8,0.6212,37.349,0.0500,5.000,0,0,,,,,,,15.504,0.335,54.432,0.662,1.771,0.610,0.000,26.425,0.060,100.000
1766337740.315603,10.034,7,7,37.330,0.00000,0.017,0.186,54.223,1303.9,0.6218,37.330,0.0500,5.000,0,0,,,,,,,15.073,0.390,48.484,0.644,1.770,0.606,0.000,26.986,0.059,94.213
1766337740.411986,10.011,7,7,37.359,0.00000,0.016,0.187,54.908,1303.7,0.6213,37.359,0.0500,5.000,0,0,,,,,,,20.643,0.295,47.343,0.568,1.533,0.525,0.000,25.106,0.076,96.271
1766337740.505772,10.128,7,7,37.346,0.00000,0.016,0.188,55.449,1303.8,0.6218,37.346,0.0500,5.000,0,0,,,,,,,23.009,0.648,42.290,0.594,1.545,0.519,0.000,24.850,0.058,93.691
1766337740.600977,10.183,7,7,37.345,0.00000,0.016,0.187,55.863,1304.1,0.6218,37.345,0.0500,5.000,0,0,,,,,,,27.436,0.637,40.613,0.489,1.352,0.471,0.000,23.913,0.050,95.118
1766337740.711692,9.327,7,7,37.350,0.00000,0.017,0.189,56.147,1303.9,0.6216,37.350,0.0500,5.000,0,0,,,,,,,39.452,1.517,41.804,0.528,1.374,0.458,0.000,25.271,0.055,110.630
