#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/1080p/debug_metrics_dotec_c920_1920x1080.csv", "poses_csv": "Preliminary_report/runs/1080p/poses_dotec_c920_1920x1080.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "sha256": "952be5b3ae075e7a682e9f0df1b90719a2f720999e5137c5c416f83951012924"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "sha256": "60a5e06a6e4c7d03766a5d0ec880f181abc2f6a8088620e79cc531b1f1b6642c"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766334456.79993}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx
1766334457.016267,49932.190,7,7,37.363,0.00000,0.016,0.188,48.922,1306.6,0.6214,37.363,0.0500,5.000,0,0,,,,,,
1766334457.232018,5.856,7,7,37.370,0.00000,0.016,0.188,45.487,1305.7,0.6218,37.370,0.0500,5.000,0,0,,,,,,
1766334457.473902,3.729,7,7,37.373,0.00000,0.016,0.189,44.914,1305.9,0.6213,37.373,0.0500,5.000,0,0,,,,,,
1766334457.598608,6.256,7,7,37.352,0.00000,0.016,0.186,45.834,1305.4,0.6224,37.352,0.0500,5.000,0,0,,,,,,
1766334457.748690,7.494,7,7,37.368,0.00000,0.016,0.188,47.237,1306.1,0.6220,37.368,0.0500,5.000,0,0,,,,,,
1766334457.889746,6.130,7,7,37.358,0.00000,0.016,0.189,48.770,1306.3,0.6225,37.358,0.0500,5.000,0,0,,,,,,
1766334458.038607,7.541,6,6,38.000,0.00000,0.019,0.224,50.393,1368.6,0.6460,38.000,0.0500,5.000,0,0,,,,,,
1766334458.141446,7.635,7,7,37.366,0.00000,0.016,0.189,51.394,1306.2,0.6214,37.366,0.0500,5.000,0,0,,,,,,
1766334458.230314,9.927,7,7,37.375,0.00000,0.016,0.188,52.355,1306.5,0.6216,37.375,0.0500,5.000,0,0,,,,,,
1766334458.335500,10.187,7,7,37.352,0.00000,0.016,0.187,53.172,1305.8,0.6220,37.352,0.0500,5.000,0,0,,,,,,
1766334458.431060,10.019,7,7,37.362,0.00000,0.016,0.188,53.868,1306.3,0.6220,37.362,0.0500,5.000,0,0,,,,,,
1766334458.530043,10.134,7,7,37.377,0.00000,0.016,0.188,54.446,1306.0,0.6217,37.377,0.0500,5.000,0,0,,,,,,
1766334458.634008,9.675,7,7,37.370,0.00000,0.016,0.187,54.932,1305.7,0.6220,37.370,0.0500,5.000,0,0,,,,,,
1766334458.730103,10.514,7,7,37.359,0.00000,0.016,0.188,55.300,1305.5,0.6218,37.359,0.0500,5.000,0,0,,,,,,
1766334458.828947,10.109,7,7,37.375,0.00000,0.016,0.189,55.631,1305.9,0.6225,37.375,0.0500,5.000,0,0,,,,,,
1766334458.937436,10.101,7,7,37.372,0.00000,0.016,0.189,55.877,1306.5,0.6216,37.372,0.0500,5.000,0,0,,,,,,
1766334459.026822,10.094,7,7,37.360,0.00000,0.016,0.188,56.081,1306.4,0.6214,37.360,0.0500,5.000,0,0,,,,,,
1766334459.126970,10.115,7,7,37.353,0.00000,0.016,0.189,56.236,1305.3,0.6218,37.353,0.0500,5.000,0,0,,,,,,
1766334459.228839,10.011,7,7,37.359,0.00000,0.016,0.189,56.347,1306.5,0.6217,37.359,0.0500,5.000,0,0,,,,,,
1766334459.320995,10.227,7,7,37.361,0.00000,0.016,0.188,56.460,1305.7,0.6219,37.361,0.0500,5.000,0,0,,,,,,
1766334459.454284,7.574,7,7,37.369,0.00000,0.016,0.188,56.535,1306.2,0.6213,37.369,0.0500,5.000,0,0,,,,,,
1766334459.554649,10.076,7,7,37.360,0.00000,0.016,0.188,56.603,1305.7,0.6220,37.360,0.0500,5.000,0,0,,,,,,
1766334459.651906,10.128,7,7,37.369,0.00000,0.016,0.189,56.655,1306.5,0.6216,37.369,0.0500,5.000,0,0,,,,,,
1766334459.754761,9.975,7,7,37.379,0.00000,0.016,0.189,56.697,1306.3,0.6214,37.379,0.0500,5.000,0,0,,,,,,
1766334459.853800,10.185,7,7,37.372,0.00000,0.016,0.188,56.743,1306.0,0.6218,37.372,0.0500,5.000,0,0,,,,,,
1766334459.952980,10.128,7,7,37.375,0.00000,0.016,0.189,56.772,1306.3,0.6217,37.375,0.0500,5.000,0,0,,,,,,
1766334460.052087,10.099,7,7,37.381,0.00000,0.016,0.189,56.813,1306.4,0.6217,37.381,0.0500,5.000,0,0,,,,,,
1766334460.157404,10.086,7,7,37.374,0.00000,0.016,0.188,56.818,1305.3,0.6215,37.374,0.0500,5.000,0,0,,,,,,
1766334460.249260,10.124,7,7,37.345,0.00000,0.016,0.189,56.829,1305.8,0.6221,37.345,0.0500,5.000,0,0,,,,,,
1766334460.343897,10.182,7,7,37.381,0.00000,0.016,0.190,56.836,1306.7,0.6214,37.381,0.0500,5.000,0,0,,,,,,
1766334460.460829,9.916,7,7,37.370,0.00000,0.016,0.189,56.857,1306.4,0.6216,37.370,0.0500,5.000,0,0,,,,,,
