#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/720p/base_debug.csv", "poses_csv": "Preliminary_report/runs/720p/base_poses.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "416ced30fbd86be9fd78c0e9845e0c4d470a9880bebda0eb2a612d21823f5dc3"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "d0e4db12a5153c0e7ac3625f5eec478b504b3bfc242bc8f0b4efbd0bfbadb1d7"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766337307.226397}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx,t_read_ms,t_gray_ms,t_detect_ms,t_reproj_ms,t_ransac_ms,t_fuse_ms,t_ekf_ms,t_hud_ms,t_log_ms,t_total_ms
1766337307.285437,66576.254,7,7,22.523,0.00000,0.042,0.376,80.088,581.0,0.6424,22.523,0.0500,5.000,0,0,,,,,,,0.014,0.609,35.103,3.160,1.662,0.527,0.000,0.000,0.060,41.450
1766337307.326794,22.361,7,7,22.575,0.00000,0.041,0.379,80.088,581.3,0.6411,22.575,0.0500,5.000,0,0,0.3552,27.563,,15.000,1,0,3.214,0.303,34.896,0.629,1.564,0.437,0.000,0.000,0.059,41.292
1766337307.392395,15.069,6,6,22.383,0.00000,0.045,0.421,80.088,606.7,0.6645,22.383,0.0500,5.000,0,0,0.2776,18.971,,15.000,2,0,28.226,0.362,33.919,0.620,1.594,0.451,0.000,0.000,0.115,65.537
1766337307.457513,15.006,6,6,22.329,0.00000,0.043,0.425,80.088,596.4,0.6674,22.329,0.0500,5.000,0,0,0.2613,19.340,,15.000,3,0,29.221,0.254,31.735,0.736,2.244,0.519,0.000,0.000,0.070,65.015
1766337307.533285,15.141,7,7,22.387,0.00000,0.040,0.388,80.088,569.6,0.6443,22.387,0.0500,5.000,0,0,0.3536,28.270,,15.000,4,0,30.142,0.546,40.522,0.880,2.489,0.661,0.000,0.000,0.106,75.658
1766337307.607304,15.319,7,7,22.582,0.00000,0.041,0.376,80.088,582.0,0.6408,22.582,0.0500,5.000,0,0,0.3514,26.945,,15.000,5,0,19.639,0.208,49.179,0.916,2.807,0.695,0.000,0.000,0.129,73.896
1766337307.679547,15.067,7,7,22.568,0.00000,0.042,0.374,80.088,582.1,0.6412,22.568,0.0500,5.000,0,0,0.3491,27.467,,15.000,6,0,11.802,0.330,54.681,0.859,3.189,0.716,0.000,0.000,0.081,71.932
1766337307.736461,15.149,6,6,22.489,0.00000,0.046,0.407,80.088,609.4,0.6643,22.489,0.0500,5.000,0,0,0.2620,17.412,,15.000,7,0,5.802,0.330,46.242,0.725,2.818,0.603,0.000,0.000,0.064,56.835
1766337307.809347,15.212,7,7,22.597,0.00000,0.042,0.375,80.088,582.3,0.6407,22.597,0.0500,5.000,0,0,0.3524,27.272,,15.000,8,0,14.614,0.230,54.119,0.829,2.146,0.552,0.000,0.000,0.070,72.794
1766337307.867722,15.180,7,7,22.588,0.00000,0.042,0.376,80.088,582.3,0.6410,22.588,0.0500,5.000,0,0,0.3523,27.424,,15.000,9,0,7.634,0.264,46.852,0.720,2.014,0.535,0.000,0.000,0.065,58.312
1766337307.926848,15.145,6,6,22.474,0.00000,0.045,0.407,74.874,609.3,0.6651,22.474,0.0500,5.000,0,0,0.2543,17.367,,15.000,10,0,15.289,0.214,39.468,0.856,1.850,0.897,0.000,0.000,0.074,59.067
1766337307.991366,15.136,7,7,22.595,0.00000,0.042,0.374,74.874,582.4,0.6413,22.595,0.0500,5.000,0,0,0.2999,22.127,,15.000,1,10,22.200,0.168,37.848,0.724,2.595,0.581,0.000,0.000,0.077,64.428
1766337308.074004,15.128,7,7,22.580,0.00000,0.042,0.373,74.874,582.5,0.6412,22.580,0.0500,5.000,0,0,0.3023,22.426,,15.000,2,10,23.814,0.252,54.613,0.717,2.321,0.568,0.000,0.000,0.066,82.577
