#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/720p/debug_metrics_dotec_c920_1280x720.csv", "poses_csv": "Preliminary_report/runs/720p/poses_dotec_c920_1280x720.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "416ced30fbd86be9fd78c0e9845e0c4d470a9880bebda0eb2a612d21823f5dc3"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "d0e4db12a5153c0e7ac3625f5eec478b504b3bfc242bc8f0b4efbd0bfbadb1d7"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766334362.5657961}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx
1766334362.894471,29537.352,7,7,22.544,0.00000,0.041,0.396,77.548,581.2,0.6396,22.544,0.0500,5.000,0,0,,,,,,
1766334363.126510,3.812,7,7,22.556,0.00000,0.042,0.389,77.548,583.4,0.6417,22.556,0.0500,5.000,0,0,0.3432,25.745,,15.000,1,0
1766334363.329860,6.048,7,7,22.567,0.00000,0.042,0.388,77.548,583.3,0.6402,22.567,0.0500,5.000,0,0,0.3382,25.578,,15.000,2,0
1766334363.510432,4.734,7,7,22.553,0.00000,0.041,0.388,77.548,583.1,0.6410,22.553,0.0500,5.000,0,0,0.3426,25.515,,15.000,3,0
1766334363.614752,5.489,7,7,22.578,0.00000,0.042,0.390,77.548,583.2,0.6401,22.578,0.0500,5.000,0,0,0.3468,25.588,,15.000,4,0
1766334363.755464,7.398,7,7,22.543,0.00000,0.042,0.388,77.548,582.4,0.6403,22.543,0.0500,5.000,0,0,0.3424,25.324,,15.000,5,0
1766334363.873747,10.399,7,7,22.533,0.00000,0.042,0.388,77.548,582.5,0.6410,22.533,0.0500,5.000,0,0,0.3372,25.755,,15.000,6,0
1766334364.055573,7.576,7,7,22.549,0.00000,0.042,0.390,77.548,582.8,0.6400,22.549,0.0500,5.000,0,0,0.3430,25.791,,15.000,7,0
1766334364.159506,6.059,7,7,22.537,0.00000,0.041,0.389,77.548,581.8,0.6405,22.537,0.0500,5.000,0,0,0.3383,25.513,,15.000,8,0
1766334364.245311,7.633,6,6,22.452,0.00000,0.046,0.421,77.548,610.1,0.6653,22.452,0.0500,5.000,0,0,0.2522,16.385,,15.000,9,0
1766334364.310099,15.117,7,7,22.537,0.00000,0.042,0.387,71.185,582.4,0.6406,22.537,0.0500,5.000,0,0,0.3382,25.491,,15.000,10,0
1766334364.376832,15.160,7,7,22.547,0.00000,0.042,0.388,71.185,582.6,0.6404,22.547,0.0500,5.000,0,0,0.2748,19.683,,15.000,1,10
1766334364.439399,15.166,7,7,22.549,0.00000,0.042,0.387,71.185,582.9,0.6404,22.549,0.0500,5.000,0,0,0.2776,19.776,,15.000,2,10
1766334364.506148,15.150,7,7,22.533,0.00000,0.042,0.387,71.185,582.2,0.6407,22.533,0.0500,5.000,0,0,0.2749,19.822,,15.000,3,10
1766334364.573062,15.082,7,7,22.577,0.00000,0.042,0.391,71.185,582.7,0.6411,22.577,0.0500,5.000,0,0,0.2779,19.833,,15.000,4,10
1766334364.638564,15.080,7,7,22.559,0.00000,0.042,0.387,71.185,583.1,0.6415,22.559,0.0500,5.000,0,0,0.2755,20.080,,15.000,5,10
1766334364.703850,15.204,6,6,22.468,0.00000,0.045,0.421,68.483,610.6,0.6662,22.468,0.0500,5.000,0,0,,,,,,
1766334364.810377,9.951,7,7,22.549,0.00000,0.042,0.388,68.483,582.2,0.6413,22.549,0.0500,5.000,0,0,0.2471,17.723,,15.000,1,16
1766334364.877671,15.640,7,7,22.526,0.00000,0.042,0.386,68.483,582.4,0.6405,22.526,0.0500,5.000,0,0,0.2450,17.037,,15.000,2,16
