#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/bench_clean/1080p/debug_metrics.csv", "poses_csv": "Preliminary_report/runs/bench_clean/1080p/poses.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "sha256": "952be5b3ae075e7a682e9f0df1b90719a2f720999e5137c5c416f83951012924"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "sha256": "60a5e06a6e4c7d03766a5d0ec880f181abc2f6a8088620e79cc531b1f1b6642c"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766339172.167192}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx,t_read_ms,t_gray_ms,t_detect_ms,t_reproj_ms,t_ransac_ms,t_fuse_ms,t_ekf_ms,t_hud_ms,t_log_ms,t_total_ms
1766339174.356984,9.94,7,7,37.281,0.0,0.017,0.184,56.852,1300.4,0.6219,37.281,0.05,5.0,0,0,,,,,,,34.096,0.368,74.998,1.272,2.919,1.014,0.0,0.0,0.093,115.082
1766339174.471073,10.194,7,7,37.313,0.0,0.017,0.185,56.951,1300.5,0.6211,37.313,0.05,5.0,0,0,,,,,,,17.01,0.45,91.788,0.932,2.554,0.873,0.0,0.0,0.088,113.993
1766339174.576001,7.639,7,7,37.296,0.0,0.017,0.185,57.047,1299.9,0.6213,37.296,0.05,5.0,0,0,,,,,,,33.848,0.319,67.4,0.665,1.753,0.591,0.0,0.0,0.069,104.856
1766339174.660394,10.031,7,7,37.315,0.0,0.016,0.186,57.115,1300.8,0.621,37.315,0.05,5.0,0,0,,,,,,,28.634,0.274,52.603,0.559,1.506,0.528,0.0,0.0,0.063,84.34
1766339174.718929,15.15,7,7,37.3,0.0,0.016,0.186,57.153,1300.5,0.6213,37.3,0.05,5.0,0,0,,,,,,,10.255,0.276,45.393,0.528,1.348,0.455,0.0,0.0,0.072,58.49
1766339174.784397,15.379,7,7,37.304,0.0,0.016,0.185,57.207,1300.6,0.6213,37.304,0.05,5.0,0,0,,,,,,,16.746,0.451,45.752,0.49,1.325,0.453,0.0,0.0,0.053,65.424
1766339174.851088,15.088,7,7,37.314,0.0,0.017,0.184,57.237,1300.8,0.6214,37.314,0.05,5.0,0,0,,,,,,,17.56,0.356,46.12,0.541,1.363,0.48,0.0,0.0,0.064,66.652
1766339174.918022,15.165,7,7,37.3,0.0,0.017,0.186,57.261,1300.6,0.6214,37.3,0.05,5.0,0,0,,,,,,,16.806,0.221,47.293,0.504,1.346,0.47,0.0,0.0,0.061,66.891
1766339174.983248,15.174,7,7,37.303,0.0,0.017,0.185,57.294,1301.1,0.6216,37.303,0.05,5.0,0,0,,,,,,,15.773,0.255,46.643,0.492,1.342,0.461,0.0,0.0,0.061,65.185
1766339175.049161,15.157,7,7,37.327,0.0,0.017,0.185,57.318,1301.4,0.6214,37.327,0.05,5.0,0,0,,,,,,,16.502,0.247,46.528,0.541,1.352,0.456,0.0,0.0,0.065,65.852
1766339175.11627,15.173,7,7,37.305,0.0,0.016,0.184,57.333,1300.7,0.6214,37.305,0.05,5.0,0,0,,,,,,,16.507,0.325,47.665,0.526,1.345,0.465,0.0,0.0,0.061,67.057
1766339175.182769,15.178,7,7,37.313,0.0,0.017,0.184,57.369,1301.4,0.6217,37.313,0.05,5.0,0,0,,,,,,,15.29,0.257,48.298,0.52,1.39,0.476,0.0,0.0,0.056,66.455
1766339175.250579,15.135,7,7,37.313,0.0,0.016,0.184,57.374,1301.1,0.6213,37.313,0.05,5.0,0,0,,,,,,,14.864,0.349,50.04,0.502,1.343,0.456,0.0,0.0,0.055,67.767
1766339175.316413,15.035,7,7,37.304,0.0,0.017,0.185,57.369,1300.5,0.6212,37.304,0.05,5.0,0,0,,,,,,,13.566,0.237,49.485,0.496,1.326,0.46,0.0,0.0,0.058,65.79
1766339175.380272,15.057,7,7,37.312,0.0,0.016,0.186,57.372,1300.7,0.6212,37.312,0.05,5.0,0,0,,,,,,,14.147,0.346,46.925,0.458,1.296,0.44,0.0,0.0,0.053,63.815
1766339175.447311,15.327,7,7,37.318,0.0,0.016,0.184,57.38,1301.4,0.6212,37.318,0.05,5.0,0,0,,,,,,,15.538,0.336,48.603,0.511,1.337,0.456,0.0,0.0,0.06,66.999
1766339175.514163,14.763,7,7,37.325,0.0,0.016,0.186,57.384,1300.6,0.6208,37.325,0.05,5.0,0,0,,,,,,,16.233,0.46,47.534,0.526,1.334,0.473,0.0,0.0,0.083,66.811
1766339175.580804,15.163,7,7,37.314,0.0,0.017,0.186,57.375,1301.0,0.6211,37.314,0.05,5.0,0,0,,,,,,,15.331,0.313,48.439,0.497,1.337,0.454,0.0,0.0,0.056,66.599
