#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/bench_clean/720p/debug_metrics.csv", "poses_csv": "Preliminary_report/runs/bench_clean/720p/poses.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "416ced30fbd86be9fd78c0e9845e0c4d470a9880bebda0eb2a612d21823f5dc3"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "d0e4db12a5153c0e7ac3625f5eec478b504b3bfc242bc8f0b4efbd0bfbadb1d7"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766339092.5016692}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx,t_read_ms,t_gray_ms,t_detect_ms,t_reproj_ms,t_ransac_ms,t_fuse_ms,t_ekf_ms,t_hud_ms,t_log_ms,t_total_ms
1766339092.562248,144631.172,7,7,22.567,0.00000,0.043,0.379,79.062,581.2,0.6400,22.567,0.0500,5.000,0,0,,,,,,,0.006,0.508,35.295,3.272,2.140,0.558,0.000,0.000,0.117,42.247
1766339092.601496,21.807,7,7,22.576,0.00000,0.042,0.380,79.062,581.2,0.6396,22.576,0.0500,5.000,0,0,0.3404,26.309,,15.000,1,0,3.525,0.180,32.630,0.592,1.556,0.430,0.000,0.000,0.061,39.164
1766339092.666458,15.127,7,7,22.546,0.00000,0.043,0.376,79.062,581.4,0.6402,22.546,0.0500,5.000,0,0,0.3342,26.513,,15.000,2,0,30.415,0.166,31.431,0.641,1.539,0.417,0.000,0.000,0.067,64.908
1766339092.737683,15.121,7,7,22.546,0.00000,0.042,0.378,79.062,582.1,0.6407,22.546,0.0500,5.000,0,0,0.3400,26.946,,15.000,3,0,31.590,0.343,36.070,0.655,1.770,0.477,0.000,0.000,0.063,71.176
1766339092.806803,15.145,6,6,22.456,0.00000,0.047,0.411,79.062,608.6,0.6650,22.456,0.0500,5.000,0,0,0.2483,16.914,,15.000,4,0,26.351,0.213,39.138,0.667,1.839,0.497,0.000,0.000,0.093,69.026
1766339092.886803,15.157,7,7,22.559,0.00000,0.043,0.377,79.062,581.1,0.6401,22.559,0.0500,5.000,0,0,0.3325,26.234,,15.000,5,0,23.229,0.447,51.716,0.885,2.509,0.660,0.000,0.000,0.209,79.928
1766339092.966670,14.932,7,7,22.554,0.00000,0.043,0.378,79.062,581.4,0.6409,22.554,0.0500,5.000,0,0,0.3370,26.528,,15.000,6,0,10.192,0.749,62.626,1.081,3.764,0.956,0.000,0.000,0.086,79.789
1766339093.055348,10.168,7,7,22.552,0.00000,0.042,0.378,79.062,581.1,0.6406,22.552,0.0500,5.000,0,0,0.3387,26.640,,15.000,7,0,28.658,0.193,55.421,0.859,2.454,0.649,0.000,0.000,0.084,88.582
1766339093.114687,15.093,7,7,22.546,0.00000,0.043,0.379,79.062,581.2,0.6400,22.546,0.0500,5.000,0,0,0.3358,26.478,,15.000,8,0,6.257,0.368,47.762,1.138,2.426,0.928,0.000,0.000,0.090,59.262
1766339093.188357,15.195,6,6,22.475,0.00000,0.046,0.414,79.062,608.7,0.6641,22.475,0.0500,5.000,0,0,0.2533,17.279,,15.000,9,0,12.728,0.215,57.008,0.681,2.013,0.526,0.000,0.000,0.107,73.592
1766339093.235651,15.236,6,6,22.462,0.00000,0.047,0.411,74.862,608.7,0.6647,22.462,0.0500,5.000,0,0,0.2484,16.756,,15.000,10,0,4.681,0.394,38.650,0.653,1.783,0.656,0.000,0.000,0.078,47.207
1766339093.300055,15.197,7,7,22.550,0.00000,0.043,0.378,74.862,581.4,0.6398,22.550,0.0500,5.000,0,0,0.2970,22.563,,15.000,1,10,23.212,0.281,37.214,0.745,2.016,0.539,0.000,0.000,0.102,64.336
1766339093.367635,15.136,7,7,22.551,0.00000,0.043,0.377,74.862,581.1,0.6401,22.551,0.0500,5.000,0,0,0.2933,22.395,,15.000,2,10,24.865,0.213,39.309,0.656,1.732,0.462,0.000,0.000,0.069,67.506
