#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "cli_overrides": ["camera", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "demo_runs/c920/debug_1080p.csv", "poses_csv": "demo_runs/c920/poses_1080p.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "sha256": "20f1d6f185e2354e733ced72ad0cc5085e009bf60e608de265521f4b69ac0dc7"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "sha256": "71595a86e7df9d464cdfe8dad32fbb72eb7d60c9382f6dea63d72e53aee63435"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766248813.791465}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1766248813.972885,38130.036,7,7,35.713,0.00000,0.013,0.477,59.258,1282.7,0.6431,35.713,0.0500,5.000,0,0
1766248814.219387,6.122,6,6,35.367,0.00000,0.015,0.502,59.258,1294.9,0.6663,35.367,0.0500,5.000,0,0
1766248814.376543,3.876,7,7,35.726,0.00000,0.013,0.474,59.258,1281.3,0.6428,35.726,0.0500,5.000,0,0
1766248814.519297,7.512,7,7,35.735,0.00000,0.013,0.476,59.258,1281.1,0.6426,35.735,0.0500,5.000,0,0
1766248814.648965,6.083,7,7,35.731,0.00000,0.013,0.475,59.258,1281.7,0.6426,35.731,0.0500,5.000,0,0
1766248814.763857,7.576,7,7,35.714,0.00000,0.013,0.476,59.258,1281.7,0.6428,35.714,0.0500,5.000,0,0
1766248814.868591,9.963,7,7,35.709,0.00000,0.013,0.474,59.258,1280.6,0.6426,35.709,0.0500,5.000,0,0
1766248814.960490,10.231,7,7,35.717,0.00000,0.013,0.473,59.258,1280.8,0.6430,35.717,0.0500,5.000,0,0
1766248815.061260,10.026,7,7,35.720,0.00000,0.013,0.473,59.258,1281.3,0.6427,35.720,0.0500,5.000,0,0
1766248815.156242,10.039,7,7,35.721,0.00000,0.013,0.476,59.258,1281.3,0.6426,35.721,0.0500,5.000,0,0
1766248815.240230,10.330,7,7,35.719,0.00000,0.013,0.479,59.258,1281.1,0.6427,35.719,0.0500,5.000,0,0
1766248815.338123,10.109,7,7,35.724,0.00000,0.013,0.476,59.258,1281.8,0.6428,35.724,0.0500,5.000,0,0
1766248815.445006,10.120,7,7,35.714,0.00000,0.013,0.475,59.258,1281.9,0.6430,35.714,0.0500,5.000,0,0
1766248815.536772,10.158,7,7,35.716,0.00000,0.013,0.477,59.258,1281.5,0.6427,35.716,0.0500,5.000,0,0
1766248815.631633,9.986,7,7,35.727,0.00000,0.013,0.477,59.258,1281.4,0.6428,35.727,0.0500,5.000,0,0
1766248815.734138,10.157,7,7,35.739,0.00000,0.013,0.476,59.258,1281.2,0.6426,35.739,0.0500,5.000,0,0
1766248815.834244,10.144,7,7,35.731,0.00000,0.013,0.475,59.258,1281.1,0.6431,35.731,0.0500,5.000,0,0
1766248815.974864,8.274,7,7,35.703,0.00000,0.013,0.477,59.258,1281.2,0.6427,35.703,0.0500,5.000,0,0
1766248816.109585,7.009,7,7,35.709,0.00000,0.013,0.480,59.258,1281.2,0.6430,35.709,0.0500,5.000,0,0
1766248816.212466,10.110,7,7,35.731,0.00000,0.013,0.475,59.258,1281.6,0.6426,35.731,0.0500,5.000,0,0
1766248816.329486,9.931,7,7,35.712,0.00000,0.013,0.478,59.258,1281.1,0.6428,35.712,0.0500,5.000,0,0
1766248816.455450,7.618,7,7,35.716,0.00000,0.013,0.474,59.258,1281.3,0.6428,35.716,0.0500,5.000,0,0
