#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "demo_runs/c920/debug_720p.csv", "poses_csv": "demo_runs/c920/poses_720p.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766248842.953352}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1766248843.027487,144631.172,7,7,23.536,0.00000,0.033,0.329,76.931,573.4,0.6497,23.536,0.0500,5.000,0,0
1766248843.128508,13.083,7,7,23.558,0.00000,0.033,0.334,76.718,573.4,0.6481,23.558,0.0500,5.000,0,0
1766248843.283901,8.141,5,5,24.929,0.00000,0.058,0.287,88.957,617.5,0.6943,24.929,0.0500,5.000,0,0
1766248843.450981,6.909,7,7,23.563,0.00000,0.033,0.330,85.955,573.7,0.6495,23.563,0.0500,5.000,0,0
1766248843.597785,6.231,7,7,23.503,0.00000,0.033,0.329,83.626,573.2,0.6510,23.503,0.0500,5.000,0,0
1766248843.665426,7.630,7,7,23.540,0.00000,0.033,0.330,81.872,573.7,0.6495,23.540,0.0500,5.000,0,0
1766248843.728533,15.199,7,7,23.544,0.00000,0.033,0.332,80.531,573.8,0.6497,23.544,0.0500,5.000,0,0
1766248843.790308,15.153,7,7,23.553,0.00000,0.033,0.329,79.606,573.3,0.6496,23.553,0.0500,5.000,0,0
1766248843.863084,15.188,7,7,23.500,0.00000,0.032,0.329,78.794,573.3,0.6509,23.500,0.0500,5.000,0,0
1766248843.926837,15.155,7,7,23.505,0.00000,0.033,0.329,78.209,573.0,0.6504,23.505,0.0500,5.000,0,0
1766248843.994281,15.015,7,7,23.554,0.00000,0.033,0.330,77.902,573.6,0.6491,23.554,0.0500,5.000,0,0
1766248844.058964,15.225,7,7,23.546,0.00000,0.033,0.329,77.580,573.4,0.6495,23.546,0.0500,5.000,0,0
1766248844.128580,15.214,7,7,23.554,0.00000,0.033,0.330,77.427,573.5,0.6493,23.554,0.0500,5.000,0,0
1766248844.192800,15.117,7,7,23.523,0.00000,0.033,0.328,77.226,573.5,0.6500,23.523,0.0500,5.000,0,0
1766248844.249069,15.117,7,7,23.545,0.00000,0.033,0.331,77.075,573.7,0.6497,23.545,0.0500,5.000,0,0
1766248844.315723,15.111,7,7,23.548,0.00000,0.033,0.330,76.980,573.7,0.6492,23.548,0.0500,5.000,0,0
1766248844.379097,15.304,7,7,23.544,0.00000,0.033,0.330,76.908,573.8,0.6488,23.544,0.0500,5.000,0,0
1766248844.444132,15.072,7,7,23.555,0.00000,0.033,0.330,76.830,573.8,0.6495,23.555,0.0500,5.000,0,0
1766248844.507442,15.171,7,7,23.501,0.00000,0.033,0.328,76.759,573.3,0.6504,23.501,0.0500,5.000,0,0
1766248844.573336,14.987,7,7,23.561,0.00000,0.033,0.332,76.690,573.5,0.6487,23.561,0.0500,5.000,0,0
1766248844.639640,15.134,7,7,23.561,0.00000,0.033,0.331,76.673,574.1,0.6491,23.561,0.0500,5.000,0,0
1766248844.716655,14.957,7,7,23.548,0.00000,0.033,0.329,76.672,573.8,0.6493,23.548,0.0500,5.000,0,0
1766248844.771379,15.633,7,7,23.538,0.00000,0.033,0.332,76.635,573.3,0.6485,23.538,0.0500,5.000,0,0
1766248844.837063,15.148,7,7,23.565,0.00000,0.033,0.332,76.650,573.9,0.6494,23.565,0.0500,5.000,0,0
1766248844.906200,14.998,7,7,23.529,0.00000,0.033,0.331,76.617,573.5,0.6493,23.529,0.0500,5.000,0,0
1766248844.971160,15.141,7,7,23.575,0.00000,0.033,0.330,76.664,574.1,0.6496,23.575,0.0500,5.000,0,0
1766248845.042230,14.725,7,7,23.561,0.00000,0.033,0.329,76.733,574.1,0.6489,23.561,0.0500,5.000,0,0
1766248845.113110,15.491,7,7,23.508,0.00000,0.033,0.327,76.690,573.4,0.6503,23.508,0.0500,5.000,0,0
1766248845.180534,15.459,7,7,23.521,0.00000,0.033,0.327,76.765,573.4,0.6497,23.521,0.0500,5.000,0,0
1766248845.250458,14.993,7,7,23.534,0.00000,0.033,0.328,76.750,573.2,0.6496,23.534,0.0500,5.000,0,0
1766248845.318055,14.860,7,7,23.539,0.00000,0.033,0.329,76.786,573.6,0.6499,23.539,0.0500,5.000,0,0
1766248845.385698,15.571,7,7,23.492,0.00000,0.033,0.327,76.767,572.6,0.6500,23.492,0.0500,5.000,0,0
1766248845.442640,15.147,7,7,23.509,0.00000,0.033,0.329,76.728,573.2,0.6501,23.509,0.0500,5.000,0,0
1766248845.507029,14.955,7,7,23.499,0.00000,0.033,0.327,76.733,573.0,0.6509,23.499,0.0500,5.000,0,0
1766248845.566094,15.358,7,7,23.521,0.00000,0.033,0.332,76.616,572.9,0.6493,23.521,0.0500,5.000,0,0
1766248845.632433,15.279,7,7,23.500,0.00000,0.033,0.327,76.651,573.4,0.6504,23.500,0.0500,5.000,0,0
1766248845.694785,15.106,7,7,23.481,0.00000,0.033,0.329,76.593,572.7,0.6507,23.481,0.0500,5.000,0,0
1766248845.760361,15.201,7,7,23.507,0.00000,0.033,0.329,76.544,573.3,0.6503,23.507,0.0500,5.000,0,0
1766248845.827184,14.937,7,7,23.559,0.00000,0.033,0.330,76.599,573.6,0.6488,23.559,0.0500,5.000,0,0
1766248845.893266,15.140,7,7,23.525,0.00000,0.033,0.330,76.597,573.4,0.6496,23.525,0.0500,5.000,0,0
1766248845.962038,15.295,7,7,23.490,0.00000,0.033,0.331,76.459,572.5,0.6502,23.490,0.0500,5.000,0,0
1766248846.029473,14.998,7,7,23.516,0.00000,0.033,0.329,76.519,573.2,0.6505,23.516,0.0500,5.000,0,0
1766248846.092737,15.141,7,7,23.552,0.00000,0.033,0.332,76.526,573.4,0.6488,23.552,0.0500,5.000,0,0
1766248846.157890,15.044,7,7,23.526,0.00000,0.033,0.327,76.604,573.5,0.6500,23.526,0.0500,5.000,0,0
1766248846.224878,15.119,7,7,23.575,0.00000,0.033,0.330,76.632,574.0,0.6491,23.575,0.0500,5.000,0,0
1766248846.288342,15.009,7,7,23.519,0.00000,0.033,0.331,76.587,573.7,0.6502,23.519,0.0500,5.000,0,0
1766248846.350538,15.207,7,7,23.559,0.00000,0.033,0.330,76.622,573.4,0.6491,23.559,0.0500,5.000,0,0
1766248846.416917,15.106,7,7,23.502,0.00000,0.034,0.329,76.611,573.6,0.6506,23.502,0.0500,5.000,0,0
1766248846.482083,15.180,7,7,23.572,0.00000,0.033,0.331,76.638,573.8,0.6487,23.572,0.0500,5.000,0,0
1766248846.545985,15.266,7,7,23.558,0.00000,0.033,0.330,76.711,573.7,0.6496,23.558,0.0500,5.000,0,0
1766248846.611475,15.313,7,7,23.501,0.00000,0.033,0.328,76.721,573.5,0.6503,23.501,0.0500,5.000,0,0
1766248846.645956,29.426,7,7,23.560,0.00000,0.033,0.330,76.732,573.7,0.6492,23.560,0.0500,5.000,0,0
1766248846.711853,15.625,7,7,23.521,0.00000,0.033,0.329,76.683,573.4,0.6498,23.521,0.0500,5.000,0,0
1766248846.780545,15.097,7,7,23.512,0.00000,0.033,0.330,76.662,573.6,0.6504,23.512,0.0500,5.000,0,0
1766248846.849389,15.063,7,7,23.497,0.00000,0.033,0.329,76.677,573.2,0.6502,23.497,0.0500,5.000,0,0
1766248846.917720,14.973,7,7,23.502,0.00000,0.032,0.329,76.616,573.0,0.6500,23.502,0.0500,5.000,0,0
1766248847.009530,10.162,7,7,23.514,0.00000,0.033,0.330,76.519,573.2,0.6497,23.514,0.0500,5.000,0,0
1766248847.074542,15.317,7,7,23.510,0.00000,0.033,0.326,76.618,573.0,0.6502,23.510,0.0500,5.000,0,0
1766248847.140065,15.098,7,7,23.475,0.00000,0.033,0.326,76.659,573.1,0.6507,23.475,0.0500,5.000,0,0
1766248847.205345,15.171,7,7,23.523,0.00000,0.033,0.330,76.634,573.4,0.6500,23.523,0.0500,5.000,0,0
1766248847.241894,30.025,7,7,23.549,0.00000,0.033,0.330,76.642,573.0,0.6493,23.549,0.0500,5.000,0,0
1766248847.306806,15.131,7,7,23.505,0.00000,0.033,0.328,76.581,572.6,0.6501,23.505,0.0500,5.000,0,0
1766248847.371405,15.199,7,7,23.490,0.00000,0.033,0.330,76.584,572.4,0.6498,23.490,0.0500,5.000,0,0
1766248847.406004,29.891,7,7,23.507,0.00000,0.033,0.328,76.589,572.7,0.6505,23.507,0.0500,5.000,0,0
1766248847.473876,15.152,7,7,23.512,0.00000,0.033,0.328,76.611,573.3,0.6498,23.512,0.0500,5.000,0,0
1766248847.537705,15.134,7,7,23.509,0.00000,0.033,0.328,76.628,573.8,0.6506,23.509,0.0500,5.000,0,0
1766248847.602857,15.217,7,7,23.555,0.00000,0.033,0.330,76.662,573.6,0.6490,23.555,0.0500,5.000,0,0
1766248847.637717,29.821,7,7,23.489,0.00000,0.033,0.328,76.632,573.4,0.6512,23.489,0.0500,5.000,0,0
1766248847.704668,15.025,7,7,23.497,0.00000,0.033,0.329,76.599,573.2,0.6505,23.497,0.0500,5.000,0,0
1766248847.765807,15.359,7,7,23.560,0.00000,0.033,0.331,76.561,573.4,0.6485,23.560,0.0500,5.000,0,0
1766248847.801247,30.085,7,7,23.504,0.00000,0.032,0.328,76.588,573.4,0.6507,23.504,0.0500,5.000,0,0
1766248847.867799,15.151,7,7,23.517,0.00000,0.033,0.328,76.620,573.6,0.6504,23.517,0.0500,5.000,0,0
1766248847.930568,15.128,7,7,23.550,0.00000,0.033,0.331,76.619,573.7,0.6488,23.550,0.0500,5.000,0,0
1766248847.965099,30.049,7,7,23.531,0.00000,0.033,0.330,76.619,573.3,0.6495,23.531,0.0500,5.000,0,0
1766248847.997823,30.478,7,7,23.558,0.00000,0.033,0.333,76.553,573.8,0.6492,23.558,0.0500,5.000,0,0
