#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["bench", "camera", "ema_alpha", "fps", "height", "no_adapt", "ransac", "ransac_base_rot", "ransac_base_trans", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": null, "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": false}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses_v2_off_simple.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1763047706.2284591}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1763047706.599937,0,107;108;110;200;201;202,60.494;57.973;43.357;101.105;87.691;62.669,-0.08074785720307594,-0.4477213695993922,-2.74354208757798,-0.08913839412846365,0.2776489962669707,0.1756339563066616,,,,,,,18.523,
1763047707.654400,1,107;108;110;200;201;202,67.291;62.308;46.534;98.901;92.380;59.313,-0.08809698095133504,-0.45004196591674855,-2.7394927350220546,-0.0909329415355053,0.28381592902464164,0.17405118415052925,,,,,,,18.689,
1763047707.897484,2,107;108;110;200;201;202,62.820;64.994;49.913;97.590;86.891;59.860,-0.0913014075162496,-0.45687249958147974,-2.7421727834332907,-0.09183276983049238,0.28828898086920635,0.1715317759659701,,,,,,,18.971,
1763047708.226992,3,107;108;110;200;201;202,64.165;69.016;48.276;99.068;86.804;62.379,-0.0913730788501558,-0.4650493862641948,-2.7490895607189856,-0.09293756873087233,0.29097938111111826,0.17055062866628645,,,,,,,19.258,
1763047708.437856,4,107;108;110;200;201;202,65.378;64.993;46.312;97.564;89.995;63.348,-0.09117492036369425,-0.4633670984974602,-2.747930193920679,-0.09340949679002279,0.29191975254432145,0.17061326241081493,,,,,,,19.196,
1763047708.591316,5,107;108;110;200;201;202,64.324;65.437;50.790;88.593;88.507;61.498,-0.09711652582877235,-0.4605871488469995,-2.7419760564040847,-0.09387581667934267,0.2976140021647787,0.16876606063492317,,,,,,,19.165,
1763047708.756485,6,107;108;110;200;201;202,64.286;62.905;50.259;99.128;89.705;64.107,-0.09671516348656772,-0.4589575625601277,-2.7401221560278164,-0.09261115823346809,0.2962860080948644,0.1689172809705525,,,,,,,19.107,
1763047708.918029,7,107;108;110;200;201;202,65.915;62.013;36.535;97.625;87.922;65.377,-0.08697213612838509,-0.4572326157273237,-2.7464825044619308,-0.09315695740088226,0.2919731217075573,0.17274129186292456,,,,,,,18.930,
1763047709.141371,8,107;108;110;200;201;202,63.809;62.268;48.823;97.607;92.677;57.363,-0.09459310980512212,-0.4558009684345012,-2.740738339560076,-0.0942530343970165,0.29459814390680034,0.1716358110612688,,,,,,,18.962,
1763047709.366861,9,107;108;110;200;201;202,64.190;59.575;46.782;91.101;84.496;63.072,-0.09513879585628884,-0.45384636287155633,-2.7382018399470702,-0.09227514945241672,0.2955068264151311,0.17101318488342254,,,,,,,18.902,
