#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "bench", "camera", "extrinsics", "fps", "height", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses_world_phone.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "2", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "9e2f5a4862f4f8ae37e755da0b4029414dabcea4d8328f34053f7f7973f67f1c"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1763316006.8341289}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1763316007.098098,0,104;107;108;110;200;201;202,24.965;71.427;71.536;64.191;57.524;54.910;53.516,-0.2091649899652161,0.3523012213310557,-2.0075159134243328,-0.3340254631255973,0.23734472134217535,0.5086133433486534,,,,,,,19.675,
1763316007.244756,1,107;108;110;200;201;202,78.418;79.001;69.277;63.270;63.654;54.321,-0.23267277113267232,0.40235846914633966,-1.9945775262315601,-0.32837431511124554,0.2164130733365592,0.509550965382157,,,,,,,22.356,
1763316007.474189,2,104;107;108;110;200;201;202,31.116;80.514;81.180;72.216;67.149;66.498;55.501,-0.22822996465536483,0.39854247693074885,-1.9875230404642827,-0.32947872224166164,0.21440657170483518,0.509932314523624,,,,,,,22.120,
1763316007.739744,3,104;107;108;110;200;201;202,34.284;83.069;83.776;74.381;66.485;66.204;64.818,-0.22451691812695462,0.3930766742909188,-1.983448734453555,-0.3301342875725735,0.2145124383533162,0.5094288030350521,,,,,,,21.821,
1763316007.876226,4,104;107;108;110;200;201;202,36.126;85.741;84.173;76.245;66.655;64.344;67.091,-0.22017982105916467,0.383519782040985,-1.9828317289121318,-0.3301138743027243,0.21725075171037456,0.5080176125012269,,,,,,,21.323,
1763316007.984214,5,104;107;108;110;200;201;202,35.540;86.082;85.076;77.169;68.187;63.156;67.905,-0.21694289282922588,0.37429066524689614,-1.9834296805103298,-0.3301725355590762,0.22035651709473805,0.5064268662448801,,,,,,,20.860,
1763316008.078285,6,107;108;110;200;201;202,85.524;85.249;77.088;68.509;64.801;67.510,-0.23780660067567472,0.41410489336837863,-1.9793639330060042,-0.32534952336432027,0.2067992087684586,0.5065782663784939,,,,,,,23.028,
1763316008.184760,7,107;108;110;200;201;202,86.117;84.993;77.854;68.758;64.921;67.100,-0.25335497256058986,0.44276976797666484,-1.9761770483988277,-0.32187495162129237,0.19744135724781636,0.5066075056462681,,,,,,,24.602,
1763316008.288049,8,104;107;108;110;200;201;202,36.007;85.778;85.629;77.753;69.176;65.438;67.006,-0.2729052347076756,0.4460944970401988,-1.9998863118989612,-0.32381008134553213,0.20398861939339336,0.5060702729510058,,,,,,,25.106,
1763316008.405236,9,104;107;108;110;200;201;202,33.944;86.012;85.273;77.452;67.939;65.751;67.727,-0.2562209778787364,0.4247448597608816,-1.9955279208275563,-0.3247423372188661,0.20860806080267366,0.5059693801965218,,,,,,,23.844,
1763316008.607656,10,104;107;108;110;200;201;202,33.417;86.499;85.453;77.884;69.036;66.598;67.837,-0.24446524616962514,0.40861538511822154,-1.9926448308215254,-0.325572294344284,0.21208010212977407,0.5057435249573817,,,,,,,22.907,
