#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766251439.63643}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1766251439.822756,35544.949,7,7,23.647,0.00000,0.033,0.331,76.280,575.3,0.6486,23.647,0.0500,5.000,0,0
1766251440.144494,6.826,5,5,25.029,0.00000,0.056,0.289,88.574,621.7,0.6956,25.029,0.0500,5.000,0,0
1766251440.323503,3.363,7,7,23.602,0.00000,0.032,0.329,85.537,575.5,0.6489,23.602,0.0500,5.000,0,0
1766251440.428743,6.098,7,7,23.635,0.00000,0.033,0.328,83.277,576.0,0.6490,23.635,0.0500,5.000,0,0
1766251440.566192,10.284,7,7,23.626,0.00000,0.033,0.332,81.447,575.1,0.6485,23.626,0.0500,5.000,0,0
1766251440.732878,5.040,7,7,23.636,0.00000,0.033,0.328,80.171,575.4,0.6472,23.636,0.0500,5.000,0,0
1766251440.822977,10.114,7,7,23.643,0.00000,0.033,0.330,79.159,575.4,0.6484,23.643,0.0500,5.000,0,0
1766251440.920744,10.124,7,7,23.632,0.00000,0.033,0.330,78.420,575.0,0.6480,23.632,0.0500,5.000,0,0
1766251441.024199,10.101,7,7,23.645,0.00000,0.033,0.329,77.976,576.0,0.6485,23.645,0.0500,5.000,0,0
1766251441.133408,10.144,7,7,23.639,0.00000,0.033,0.328,77.617,575.2,0.6479,23.639,0.0500,5.000,0,0
1766251441.242669,7.575,7,7,23.661,0.00000,0.033,0.332,77.332,575.2,0.6484,23.661,0.0500,5.000,0,0
1766251441.333039,10.121,7,7,23.649,0.00000,0.033,0.330,77.176,575.1,0.6482,23.649,0.0500,5.000,0,0
1766251441.433866,9.988,7,7,23.655,0.00000,0.033,0.328,77.037,575.3,0.6480,23.655,0.0500,5.000,0,0
1766251441.533551,10.189,7,7,23.656,0.00000,0.033,0.333,76.797,575.7,0.6483,23.656,0.0500,5.000,0,0
1766251441.630390,10.019,7,7,23.653,0.00000,0.033,0.332,76.713,575.7,0.6480,23.653,0.0500,5.000,0,0
1766251441.727646,10.161,7,7,23.620,0.00000,0.033,0.331,76.627,575.6,0.6483,23.620,0.0500,5.000,0,0
1766251441.862237,7.641,7,7,23.644,0.00000,0.033,0.332,76.504,575.4,0.6484,23.644,0.0500,5.000,0,0
1766251441.965289,9.993,7,7,23.649,0.00000,0.033,0.332,76.451,575.2,0.6483,23.649,0.0500,5.000,0,0
1766251442.072136,10.086,7,7,23.667,0.00000,0.033,0.332,76.422,575.7,0.6486,23.667,0.0500,5.000,0,0
1766251442.173271,10.138,7,7,23.633,0.00000,0.033,0.330,76.356,575.7,0.6485,23.633,0.0500,5.000,0,0
1766251442.275314,10.040,7,7,23.631,0.00000,0.033,0.329,76.402,575.2,0.6489,23.631,0.0500,5.000,0,0
1766251442.379536,10.179,7,7,23.620,0.00000,0.033,0.330,76.328,574.9,0.6481,23.620,0.0500,5.000,0,0
1766251442.491438,10.064,7,7,23.666,0.00000,0.033,0.333,76.259,575.8,0.6475,23.666,0.0500,5.000,0,0
