#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p_ekf_spike.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p_ekf_spike.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766331856.024895}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx
1766331856.188575,52428.800,6,6,27.671,0.00000,0.053,0.313,86.267,601.8,0.6656,27.671,0.0500,5.000,0,0,,,,,,
1766331856.289786,8.330,6,6,27.244,0.00000,0.060,0.323,85.859,584.5,0.6678,27.244,0.0500,5.000,0,0,,,,,,
1766331856.400850,10.061,6,6,27.622,0.00000,0.052,0.313,85.587,602.0,0.6675,27.622,0.0500,5.000,0,0,,,,,,
1766331856.488067,10.188,6,6,27.643,0.00000,0.052,0.312,85.366,601.9,0.6659,27.643,0.0500,5.000,0,0,,,,,,
1766331856.570266,14.703,6,6,27.645,0.00000,0.053,0.312,85.226,601.9,0.6667,27.645,0.0500,5.000,0,0,,,,,,
1766331856.649062,10.179,6,6,27.635,0.00000,0.052,0.313,85.084,601.9,0.6666,27.635,0.0500,5.000,0,0,,,,,,
1766331856.718056,15.563,6,6,27.648,0.00000,0.052,0.312,84.941,602.3,0.6665,27.648,0.0500,5.000,0,0,,,,,,
1766331856.824758,9.868,6,6,27.638,0.00000,0.052,0.312,84.827,601.9,0.6661,27.638,0.0500,5.000,0,0,,,,,,
1766331856.880249,15.576,6,6,27.641,0.00000,0.052,0.310,84.788,602.3,0.6673,27.641,0.0500,5.000,0,0,,,,,,
1766331856.945746,15.311,6,6,27.640,0.00000,0.052,0.311,84.709,602.1,0.6665,27.640,0.0500,5.000,0,0,,,,,,
1766331857.021257,15.105,6,6,27.629,0.00000,0.052,0.312,84.715,601.7,0.6671,27.629,0.0500,5.000,0,0,,,,,,
1766331857.079481,15.169,6,6,27.630,0.00000,0.052,0.313,84.689,601.8,0.6669,27.630,0.0500,5.000,0,0,,,,,,
1766331857.142530,15.155,6,6,27.636,0.00000,0.052,0.311,84.656,602.3,0.6671,27.636,0.0500,5.000,0,0,,,,,,
1766331857.210120,15.195,6,6,27.623,0.00000,0.052,0.311,84.634,601.9,0.6671,27.623,0.0500,5.000,0,0,,,,,,
1766331857.272724,15.117,6,6,27.635,0.00000,0.053,0.311,84.606,602.1,0.6668,27.635,0.0500,5.000,0,0,,,,,,
1766331857.339930,15.208,6,6,27.651,0.00000,0.052,0.312,84.638,602.5,0.6669,27.651,0.0500,5.000,0,0,,,,,,
1766331857.405410,15.051,6,6,27.639,0.00000,0.052,0.312,84.620,602.0,0.6665,27.639,0.0500,5.000,0,0,,,,,,
1766331857.473580,15.137,6,6,27.630,0.00000,0.052,0.312,84.653,602.0,0.6672,27.630,0.0500,5.000,0,0,,,,,,
1766331857.539040,15.243,6,6,27.648,0.00000,0.053,0.313,84.619,602.2,0.6666,27.648,0.0500,5.000,0,0,,,,,,
1766331857.607693,15.158,6,6,27.637,0.00000,0.052,0.310,84.623,601.9,0.6669,27.637,0.0500,5.000,0,0,,,,,,
1766331857.671797,14.938,6,6,27.654,0.00000,0.052,0.313,84.675,601.9,0.6662,27.654,0.0500,5.000,0,0,,,,,,
