#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p_noekf.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p_noekf.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766331459.727204}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1766331459.882467,49932.190,6,6,27.648,0.00000,0.053,0.311,86.352,601.4,0.6668,27.648,0.0500,5.000,0,0
1766331460.010909,8.430,6,6,27.278,0.00000,0.059,0.321,85.972,587.2,0.6687,27.278,0.0500,5.000,0,0
1766331460.145382,7.591,6,6,27.654,0.00000,0.052,0.314,85.580,602.7,0.6665,27.654,0.0500,5.000,0,0
1766331460.381107,10.065,6,6,27.668,0.00000,0.052,0.313,85.250,602.8,0.6667,27.668,0.0500,5.000,0,0
1766331460.471931,4.325,6,6,27.668,0.00000,0.052,0.313,85.044,603.0,0.6668,27.668,0.0500,5.000,0,0
1766331460.580860,10.153,6,6,27.651,0.00000,0.052,0.312,84.892,602.9,0.6666,27.651,0.0500,5.000,0,0
1766331460.711362,7.598,6,6,27.676,0.00000,0.052,0.313,84.787,603.0,0.6663,27.676,0.0500,5.000,0,0
1766331460.795356,10.109,6,6,27.657,0.00000,0.053,0.311,84.661,601.9,0.6662,27.657,0.0500,5.000,0,0
1766331460.869868,14.550,6,6,27.664,0.00000,0.052,0.312,84.566,602.9,0.6671,27.664,0.0500,5.000,0,0
1766331460.945963,10.428,6,6,27.659,0.00000,0.053,0.310,84.518,602.5,0.6665,27.659,0.0500,5.000,0,0
1766331461.015582,15.001,6,6,27.674,0.00000,0.052,0.313,84.471,602.8,0.6666,27.674,0.0500,5.000,0,0
1766331461.080430,15.261,6,6,27.675,0.00000,0.052,0.311,84.495,602.8,0.6665,27.675,0.0500,5.000,0,0
1766331461.141773,15.126,6,6,27.660,0.00000,0.053,0.312,84.502,602.5,0.6665,27.660,0.0500,5.000,0,0
1766331461.209757,14.906,6,6,27.693,0.00000,0.053,0.311,84.480,603.4,0.6668,27.693,0.0500,5.000,0,0
1766331461.277508,15.098,6,6,27.640,0.00000,0.052,0.310,84.501,602.0,0.6669,27.640,0.0500,5.000,0,0
1766331461.340180,15.152,6,6,27.658,0.00000,0.052,0.313,84.431,602.6,0.6662,27.658,0.0500,5.000,0,0
1766331461.404725,15.240,6,6,27.672,0.00000,0.053,0.313,84.411,602.4,0.6665,27.672,0.0500,5.000,0,0
1766331461.469231,15.126,6,6,27.654,0.00000,0.052,0.311,84.401,602.5,0.6665,27.654,0.0500,5.000,0,0
1766331461.540538,15.133,6,6,27.660,0.00000,0.053,0.313,84.410,602.6,0.6666,27.660,0.0500,5.000,0,0
1766331461.602243,15.465,6,6,27.658,0.00000,0.052,0.312,84.338,602.5,0.6658,27.658,0.0500,5.000,0,0
1766331461.669274,15.062,6,6,27.655,0.00000,0.053,0.312,84.342,602.7,0.6666,27.655,0.0500,5.000,0,0
1766331461.735478,15.197,6,6,27.659,0.00000,0.053,0.311,84.348,602.3,0.6666,27.659,0.0500,5.000,0,0
1766331461.803997,14.634,6,6,27.655,0.00000,0.052,0.311,84.362,602.5,0.6666,27.655,0.0500,5.000,0,0
1766331461.866498,15.254,6,6,27.665,0.00000,0.053,0.312,84.337,603.0,0.6669,27.665,0.0500,5.000,0,0
1766331461.933563,15.400,6,6,27.667,0.00000,0.052,0.313,84.365,602.3,0.6665,27.667,0.0500,5.000,0,0
1766331461.999827,15.034,6,6,27.661,0.00000,0.052,0.312,84.349,602.7,0.6665,27.661,0.0500,5.000,0,0
1766331462.065688,15.223,6,6,27.663,0.00000,0.053,0.313,84.377,602.8,0.6666,27.663,0.0500,5.000,0,0
1766331462.133540,15.078,6,6,27.673,0.00000,0.053,0.313,84.372,603.1,0.6664,27.673,0.0500,5.000,0,0
1766331462.197049,15.091,6,6,27.660,0.00000,0.053,0.312,84.400,602.9,0.6670,27.660,0.0500,5.000,0,0
1766331462.264706,15.437,6,6,27.675,0.00000,0.053,0.311,84.420,603.0,0.6666,27.675,0.0500,5.000,0,0
1766331462.331420,14.925,6,6,27.656,0.00000,0.053,0.311,84.483,602.3,0.6667,27.656,0.0500,5.000,0,0
1766331462.396212,15.265,6,6,27.675,0.00000,0.053,0.311,84.423,603.0,0.6661,27.675,0.0500,5.000,0,0
1766331462.462903,15.086,6,6,27.653,0.00000,0.053,0.312,84.436,602.7,0.6667,27.653,0.0500,5.000,0,0
1766331462.528986,15.164,6,6,27.646,0.00000,0.052,0.312,84.430,602.7,0.6669,27.646,0.0500,5.000,0,0
1766331462.595089,15.152,6,6,27.657,0.00000,0.053,0.311,84.472,602.3,0.6673,27.657,0.0500,5.000,0,0
1766331462.663814,14.943,6,6,27.643,0.00000,0.052,0.310,84.518,602.4,0.6673,27.643,0.0500,5.000,0,0
1766331462.728700,15.526,6,6,27.666,0.00000,0.053,0.312,84.551,602.9,0.6673,27.666,0.0500,5.000,0,0
1766331462.799583,14.952,6,6,27.658,0.00000,0.053,0.313,84.550,602.7,0.6670,27.658,0.0500,5.000,0,0
1766331462.862834,15.154,6,6,27.648,0.00000,0.053,0.310,84.576,602.4,0.6677,27.648,0.0500,5.000,0,0
1766331462.925813,15.396,6,6,27.657,0.00000,0.052,0.311,84.572,602.8,0.6671,27.657,0.0500,5.000,0,0
1766331462.990791,15.174,6,6,27.665,0.00000,0.052,0.312,84.517,602.8,0.6666,27.665,0.0500,5.000,0,0
1766331463.058567,14.997,6,6,27.659,0.00000,0.053,0.312,84.484,603.1,0.6666,27.659,0.0500,5.000,0,0
1766331463.123610,15.095,6,6,27.667,0.00000,0.053,0.312,84.469,602.8,0.6668,27.667,0.0500,5.000,0,0
1766331463.193292,15.040,6,6,27.655,0.00000,0.053,0.311,84.463,603.0,0.6672,27.655,0.0500,5.000,0,0
1766331463.257190,15.319,6,6,27.663,0.00000,0.053,0.312,84.466,602.5,0.6667,27.663,0.0500,5.000,0,0
1766331463.321000,15.202,6,6,27.669,0.00000,0.053,0.312,84.446,603.2,0.6669,27.669,0.0500,5.000,0,0
1766331463.404627,15.017,6,6,27.659,0.00000,0.052,0.312,84.436,602.8,0.6670,27.659,0.0500,5.000,0,0
1766331463.491127,10.020,6,6,27.660,0.00000,0.053,0.312,84.440,602.9,0.6669,27.660,0.0500,5.000,0,0
1766331463.557679,15.227,6,6,27.649,0.00000,0.053,0.311,84.475,602.8,0.6673,27.649,0.0500,5.000,0,0
1766331463.624227,15.094,6,6,27.660,0.00000,0.053,0.312,84.459,602.8,0.6671,27.660,0.0500,5.000,0,0
1766331463.691358,15.522,6,6,27.666,0.00000,0.053,0.312,84.448,602.6,0.6663,27.666,0.0500,5.000,0,0
1766331463.782616,10.020,6,6,27.662,0.00000,0.053,0.311,84.469,602.5,0.6669,27.662,0.0500,5.000,0,0
1766331463.850132,14.950,6,6,27.648,0.00000,0.052,0.313,84.452,602.5,0.6670,27.648,0.0500,5.000,0,0
1766331463.916974,15.142,6,6,27.667,0.00000,0.053,0.313,84.448,602.9,0.6668,27.667,0.0500,5.000,0,0
1766331463.981271,15.286,6,6,27.665,0.00000,0.053,0.312,84.471,602.9,0.6676,27.665,0.0500,5.000,0,0
1766331464.049046,14.960,6,6,27.675,0.00000,0.053,0.312,84.499,603.3,0.6670,27.675,0.0500,5.000,0,0
1766331464.114033,15.133,6,6,27.658,0.00000,0.053,0.312,84.478,602.7,0.6666,27.658,0.0500,5.000,0,0
1766331464.179701,15.373,6,6,27.654,0.00000,0.053,0.311,84.516,602.1,0.6670,27.654,0.0500,5.000,0,0
1766331464.248716,15.285,6,6,27.655,0.00000,0.053,0.312,84.532,602.5,0.6675,27.655,0.0500,5.000,0,0
1766331464.312135,15.186,6,6,27.657,0.00000,0.053,0.312,84.535,602.5,0.6670,27.657,0.0500,5.000,0,0
1766331464.380810,14.846,6,6,27.654,0.00000,0.053,0.312,84.528,602.5,0.6672,27.654,0.0500,5.000,0,0
1766331464.447301,15.729,6,6,27.653,0.00000,0.053,0.312,84.502,602.6,0.6665,27.653,0.0500,5.000,0,0
1766331464.508968,14.957,6,6,27.657,0.00000,0.052,0.311,84.519,602.7,0.6672,27.657,0.0500,5.000,0,0
1766331464.577708,14.863,6,6,27.660,0.00000,0.053,0.313,84.504,602.8,0.6673,27.660,0.0500,5.000,0,0
1766331464.642134,15.252,6,6,27.670,0.00000,0.053,0.312,84.504,602.7,0.6669,27.670,0.0500,5.000,0,0
1766331464.708791,15.060,6,6,27.667,0.00000,0.053,0.312,84.518,602.7,0.6666,27.667,0.0500,5.000,0,0
1766331464.773528,15.101,6,6,27.662,0.00000,0.053,0.312,84.492,602.9,0.6670,27.662,0.0500,5.000,0,0
1766331464.841610,15.133,6,6,27.664,0.00000,0.052,0.313,84.514,602.6,0.6672,27.664,0.0500,5.000,0,0
1766331464.909789,15.374,6,6,27.658,0.00000,0.053,0.312,84.522,602.5,0.6668,27.658,0.0500,5.000,0,0
