#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p_ransac.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p_ransac.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766252043.88431}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1766252044.182804,71089.898,7,1,22.950,0.21345,1.000,1.000,0.000,720.9,0.8138,22.950,0.1423,14.230,0,0
1766252044.585627,3.247,7,1,22.944,0.20410,1.000,1.000,0.000,719.4,0.8134,22.944,0.1423,14.230,0,0
1766252044.842337,3.052,7,1,22.919,0.21016,1.000,1.000,0.000,718.7,0.8130,22.919,0.1423,14.230,0,0
1766252045.125706,3.817,7,1,22.975,0.20373,1.000,1.000,0.000,720.3,0.8139,22.975,0.1423,14.230,0,0
1766252045.368878,3.782,7,1,22.935,0.20728,1.000,1.000,0.000,719.4,0.8129,22.935,0.1423,14.230,0,0
1766252045.649130,3.787,7,1,22.924,0.20603,1.000,1.000,0.000,719.1,0.8127,22.924,0.1423,14.230,0,0
1766252045.880781,3.793,6,1,22.922,0.21453,1.000,1.000,0.000,718.4,0.8126,22.922,0.1581,15.811,0,0
1766252046.067974,4.335,6,1,22.922,0.20805,1.000,1.000,0.000,719.0,0.8131,22.922,0.1581,15.811,0,0
1766252046.232021,6.072,7,1,22.935,0.20895,1.000,1.000,0.000,719.6,0.8131,22.935,0.1423,14.230,0,0
1766252046.389366,6.034,7,1,22.955,0.21024,1.000,1.000,0.000,720.1,0.8130,22.955,0.1423,14.230,0,0
1766252046.537837,6.086,7,1,22.918,0.21050,1.000,1.000,0.000,719.1,0.8131,22.918,0.1423,14.230,0,0
1766252046.733599,5.993,7,1,22.962,0.20660,1.000,1.000,0.000,720.0,0.8146,22.962,0.1423,14.230,0,0
1766252046.940142,5.057,7,7,23.676,2.68839,0.034,0.327,86.140,574.4,0.6321,23.676,0.1423,14.230,0,0
1766252047.122589,5.103,7,1,22.939,0.20035,1.000,1.000,86.140,719.1,0.8140,22.939,0.1423,14.230,0,0
1766252047.274347,6.047,7,1,22.943,0.20076,1.000,1.000,86.140,719.5,0.8135,22.943,0.1423,14.230,0,0
1766252047.422921,6.056,7,1,22.941,0.19733,1.000,1.000,86.140,719.3,0.8138,22.941,0.1423,14.230,0,0
1766252047.571844,6.070,7,1,22.959,0.19548,1.000,1.000,86.140,719.8,0.8146,22.959,0.1423,14.230,0,0
1766252047.730986,7.567,7,1,22.907,0.20247,1.000,1.000,86.140,718.3,0.8130,22.907,0.1423,14.230,0,0
1766252047.929563,6.027,7,1,22.943,0.20302,1.000,1.000,86.140,719.3,0.8137,22.943,0.1423,14.230,0,0
1766252048.123931,4.347,7,1,22.933,0.20765,1.000,1.000,86.140,718.7,0.8134,22.933,0.1423,14.230,0,0
1766252048.254616,5.983,7,1,22.943,0.19736,1.000,1.000,86.140,719.1,0.8140,22.943,0.1423,14.230,0,0
1766252048.379908,7.598,7,1,22.926,0.20070,1.000,1.000,86.140,718.7,0.8136,22.926,0.1423,14.230,0,0
1766252048.479724,10.137,7,7,23.633,2.50435,0.034,0.329,85.009,573.7,0.6470,23.633,0.1423,14.230,0,0
1766252048.579106,10.082,7,1,22.915,0.20456,1.000,1.000,85.009,718.6,0.8129,22.915,0.1423,14.230,0,0
1766252048.676566,10.194,7,7,23.648,2.69030,0.034,0.329,84.548,574.3,0.6329,23.648,0.1423,14.230,0,0
1766252048.777715,9.926,7,1,22.931,0.19647,1.000,1.000,84.548,719.1,0.8136,22.931,0.1423,14.230,0,0
1766252048.876740,10.374,7,1,22.919,0.20366,1.000,1.000,84.548,718.5,0.8137,22.919,0.1423,14.230,0,0
1766252048.971269,10.051,7,7,23.630,2.49935,0.033,0.327,83.722,574.1,0.6473,23.630,0.1423,14.230,0,0
1766252049.101904,9.935,7,1,22.937,0.20463,1.000,1.000,83.722,719.1,0.8134,22.937,0.1423,14.230,0,0
1766252049.206235,7.666,7,1,22.933,0.19790,1.000,1.000,83.722,718.8,0.8138,22.933,0.1423,14.230,0,0
