#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_check.csv", "poses_csv": "phase_b/v2/poses_dotec_check.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "e03e2d3cb9ab767f90fac0f399769f4b339fe3fb3f711669b0cb05a6c895abd4"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "9736191d05aabb632fd2ee895ca3674d0f4aef8ce615de526d190722fdc258ff"}}, "git_commit": null, "timestamp": 1765382553.620288}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1765382553.836375,42.483,6,6,37.874,2.42711,0.009,0.828,68.530,1270.6,0.6058,37.874,0.1537,15.366,0,0
1765382554.003825,5.930,6,6,37.858,2.40178,0.009,0.826,68.530,1270.2,0.6059,37.858,0.1537,15.368,0,0
1765382554.221255,5.804,6,6,37.914,2.40281,0.009,0.828,68.530,1271.2,0.6059,37.914,0.1536,15.362,0,0
1765382554.371290,5.456,6,6,37.873,2.41011,0.009,0.823,68.530,1272.4,0.6060,37.873,0.1536,15.355,0,0
1765382554.576781,5.703,6,6,37.880,2.42321,0.008,0.824,68.530,1272.4,0.6047,37.880,0.1536,15.355,0,0
1765382554.826752,5.132,6,6,37.901,2.40670,0.009,0.825,68.530,1272.9,0.6047,37.901,0.1535,15.352,0,0
1765382555.005013,4.236,6,6,37.904,2.41547,0.009,0.824,68.530,1273.4,0.6057,37.904,0.1535,15.349,0,0
1765382555.179592,5.846,6,6,37.893,2.41576,0.009,0.829,68.530,1273.4,0.6061,37.893,0.1535,15.349,0,0
1765382555.326075,6.028,6,6,37.911,2.42090,0.009,0.825,68.530,1273.0,0.6059,37.911,0.1535,15.351,0,0
1765382555.507529,6.024,6,6,37.896,2.42624,0.009,0.825,68.530,1272.7,0.6059,37.896,0.1535,15.353,0,0
1765382555.701506,5.886,6,6,37.924,2.41953,0.009,0.825,68.530,1273.5,0.6054,37.924,0.1535,15.348,0,0
1765382555.913797,5.091,6,6,37.897,2.41768,0.009,0.824,68.530,1271.6,0.6047,37.897,0.1536,15.360,0,0
1765382556.140339,4.220,6,6,37.910,2.42221,0.009,0.826,68.530,1272.0,0.6058,37.910,0.1536,15.357,0,0
1765382556.351860,4.921,6,6,37.941,2.41736,0.009,0.827,68.530,1272.7,0.6056,37.941,0.1535,15.353,0,0
1765382556.529630,4.965,6,6,37.941,2.41442,0.009,0.826,68.530,1272.8,0.6057,37.941,0.1535,15.352,0,0
1765382556.795148,4.844,6,6,37.921,2.42034,0.009,0.826,68.530,1271.9,0.6060,37.921,0.1536,15.358,0,0
1765382556.981650,3.889,6,6,37.891,2.41168,0.009,0.826,68.530,1272.1,0.6057,37.891,0.1536,15.357,0,0
1765382557.145104,5.725,6,6,37.891,2.42232,0.009,0.825,68.530,1271.1,0.6059,37.891,0.1536,15.363,0,0
1765382557.304237,6.149,6,6,37.917,2.42220,0.009,0.826,68.530,1272.0,0.6056,37.917,0.1536,15.357,0,0
1765382557.469172,6.073,6,6,37.925,2.42005,0.009,0.827,68.530,1272.5,0.6057,37.925,0.1535,15.354,0,0
1765382557.646485,5.740,6,6,37.953,2.41145,0.009,0.828,68.530,1272.0,0.6052,37.953,0.1536,15.357,0,0
1765382557.805537,6.258,6,6,37.929,2.41923,0.009,0.826,68.530,1272.9,0.6051,37.929,0.1535,15.352,0,0
1765382557.967715,6.049,6,6,37.916,2.42222,0.009,0.826,68.530,1272.8,0.6053,37.916,0.1535,15.353,0,0
1765382558.132227,6.046,6,6,37.921,2.41781,0.009,0.825,68.530,1272.7,0.6052,37.921,0.1535,15.353,0,0
1765382558.304605,5.868,6,6,37.935,2.41697,0.009,0.827,68.530,1272.1,0.6055,37.935,0.1536,15.357,0,0
1765382558.470004,6.086,6,6,37.934,2.41474,0.009,0.826,68.530,1272.3,0.6064,37.934,0.1536,15.356,0,0
1765382558.628809,6.151,6,6,37.908,2.41698,0.009,0.825,68.530,1271.8,0.6056,37.908,0.1536,15.359,0,0
1765382558.806545,5.863,6,6,37.938,2.41580,0.009,0.828,68.530,1272.5,0.6061,37.938,0.1535,15.354,0,0
1765382558.988051,6.090,6,6,37.865,2.42412,0.009,0.825,68.530,1271.1,0.6059,37.865,0.1536,15.363,0,0
1765382559.201610,4.984,6,6,36.051,2.51174,0.008,0.740,68.530,1270.8,0.6878,36.051,0.1536,15.365,0,0
1765382559.620449,4.402,6,6,37.904,2.41668,0.009,0.826,68.530,1271.4,0.6052,37.904,0.1536,15.361,0,0
1765382559.988990,2.440,6,6,37.905,2.41342,0.009,0.827,68.530,1271.2,0.6048,37.905,0.1536,15.362,0,0
1765382560.242660,2.753,6,6,37.927,2.41394,0.009,0.828,68.530,1271.7,0.6048,37.927,0.1536,15.359,0,0
1765382560.517749,3.793,6,6,37.940,2.41688,0.009,0.827,68.530,1272.8,0.6057,37.940,0.1535,15.352,0,0
1765382560.725858,3.709,6,6,37.904,2.41367,0.009,0.828,68.530,1273.0,0.6048,37.904,0.1535,15.351,0,0
1765382560.917479,4.990,6,6,37.897,2.41457,0.009,0.828,68.530,1272.4,0.6050,37.897,0.1536,15.355,0,0
