#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_check_fixed.csv", "poses_csv": "phase_b/v2/poses_dotec_check_fixed.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "c2358bacf28a6591aaf65f8d832640b19ad5b1890d970b886436236dc31287b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "e7415bd66c3a3842c2084b1fa44211f2193186de41427a973ef5d4ea38406b81"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "9736191d05aabb632fd2ee895ca3674d0f4aef8ce615de526d190722fdc258ff"}}, "git_commit": null, "timestamp": 1765815025.306452}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1765815026.737297,69.023,6,6,45.041,2.46959,0.039,0.380,44.827,1897.4,0.6200,45.041,0.1257,12.574,0,0
1765815027.229030,0.760,6,6,45.102,2.46278,0.038,0.382,45.324,1901.6,0.6203,45.102,0.1256,12.560,0,0
1765815027.711845,2.200,6,6,45.136,2.46490,0.038,0.377,45.757,1903.3,0.6202,45.136,0.1255,12.555,0,0
1765815028.009184,1.974,6,6,45.061,2.46568,0.039,0.381,46.047,1901.3,0.6204,45.061,0.1256,12.561,0,0
1765815028.257539,3.401,6,6,45.150,2.46558,0.038,0.377,46.333,1903.2,0.6197,45.150,0.1256,12.555,0,0
1765815028.512892,4.150,7,7,45.004,2.62435,0.034,0.341,48.436,1846.5,0.6123,45.004,0.1147,11.472,0,0
1765815028.785487,4.133,6,6,45.126,2.46415,0.039,0.377,48.160,1902.2,0.6205,45.126,0.1256,12.558,0,0
1765815029.073257,3.457,6,6,45.108,2.46480,0.039,0.380,47.911,1902.1,0.6205,45.108,0.1256,12.559,0,0
1765815029.380541,3.703,6,6,45.138,2.46914,0.039,0.378,47.754,1901.3,0.6198,45.138,0.1256,12.561,0,0
1765815029.765276,3.347,6,6,45.138,2.46673,0.039,0.377,47.656,1901.4,0.6197,45.138,0.1256,12.561,0,0
1765815030.011414,2.510,6,6,45.134,2.46606,0.039,0.378,47.557,1900.8,0.6189,45.134,0.1256,12.563,0,0
1765815030.243352,4.316,6,6,45.118,2.46701,0.038,0.378,47.490,1900.1,0.6192,45.118,0.1257,12.565,0,0
1765815030.544693,3.950,7,7,44.991,2.62345,0.034,0.334,49.488,1844.2,0.6127,44.991,0.1148,11.479,0,0
1765815030.963307,3.401,6,6,45.147,2.46491,0.038,0.375,48.998,1903.4,0.6203,45.147,0.1255,12.555,0,0
1765815031.191527,2.385,6,6,45.122,2.46584,0.038,0.378,48.568,1901.0,0.6199,45.122,0.1256,12.562,0,0
1765815031.476922,4.261,6,6,45.143,2.46233,0.038,0.379,48.245,1902.5,0.6200,45.143,0.1256,12.558,0,0
1765815031.819037,3.751,6,6,45.115,2.46377,0.038,0.381,47.981,1901.6,0.6201,45.115,0.1256,12.560,0,0
1765815032.087562,2.737,6,6,45.131,2.46346,0.038,0.382,47.776,1902.3,0.6201,45.131,0.1256,12.558,0,0
1765815032.311451,3.720,6,6,45.139,2.46457,0.038,0.376,47.669,1902.4,0.6203,45.139,0.1256,12.558,0,0
1765815032.517197,5.033,6,6,45.123,2.46532,0.038,0.381,47.553,1901.3,0.6201,45.123,0.1256,12.561,0,0
1765815032.758440,4.958,6,6,45.134,2.46487,0.039,0.380,47.453,1902.1,0.6203,45.134,0.1256,12.559,0,0
