#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_corrected.csv", "poses_csv": "phase_b/v2/poses_dotec_corrected.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "e03e2d3cb9ab767f90fac0f399769f4b339fe3fb3f711669b0cb05a6c895abd4"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "9736191d05aabb632fd2ee895ca3674d0f4aef8ce615de526d190722fdc258ff"}}, "git_commit": null, "timestamp": 1765382418.305619}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1765382418.547828,107.019,6,6,37.858,2.40131,0.009,0.820,69.290,1269.8,0.6062,37.858,0.1537,15.371,0,0
1765382418.841649,4.755,6,6,37.812,2.40132,0.009,0.824,69.290,1269.3,0.6055,37.812,0.1537,15.374,0,0
1765382419.392234,3.418,6,6,37.764,2.41260,0.009,0.821,69.290,1270.1,0.6045,37.764,0.1537,15.369,0,0
1765382419.614908,1.966,6,6,37.832,2.42318,0.009,0.826,69.290,1269.4,0.6044,37.832,0.1537,15.373,0,0
1765382419.843482,4.321,6,6,37.880,2.41386,0.009,0.829,69.290,1269.7,0.6053,37.880,0.1537,15.372,0,0
1765382420.067574,4.237,6,6,37.862,2.42056,0.009,0.826,69.290,1270.5,0.6048,37.862,0.1537,15.366,0,0
1765382420.254108,4.957,6,6,37.857,2.42072,0.009,0.827,69.290,1271.2,0.6053,37.857,0.1536,15.362,0,0
1765382420.422145,5.865,6,6,37.835,2.41771,0.009,0.825,69.290,1270.1,0.6057,37.835,0.1537,15.369,0,0
1765382420.606670,5.051,6,6,37.787,2.41871,0.009,0.825,69.290,1269.6,0.6059,37.787,0.1537,15.372,0,0
1765382420.771345,6.046,6,6,37.831,2.41352,0.009,0.826,69.290,1270.5,0.6053,37.831,0.1537,15.366,0,0
1765382420.956115,5.858,6,6,35.956,2.50521,0.008,0.737,69.290,1268.6,0.6884,35.956,0.1538,15.378,0,0
1765382421.136804,5.089,6,6,37.809,2.41543,0.009,0.823,69.290,1270.4,0.6054,37.809,0.1537,15.367,0,0
1765382421.317110,6.021,6,6,37.799,2.41418,0.009,0.824,69.290,1269.8,0.6052,37.799,0.1537,15.371,0,0
1765382421.496761,5.989,6,6,37.804,2.41323,0.009,0.823,69.290,1269.8,0.6048,37.804,0.1537,15.370,0,0
1765382421.733290,4.962,6,6,37.845,2.41594,0.009,0.823,69.290,1269.0,0.6048,37.845,0.1538,15.375,0,0
1765382421.913846,4.290,6,6,37.846,2.41969,0.009,0.825,69.290,1270.0,0.6050,37.846,0.1537,15.369,0,0
1765382422.063689,6.112,6,6,37.817,2.41723,0.009,0.824,69.290,1270.4,0.6045,37.817,0.1537,15.367,0,0
1765382422.228790,6.109,6,6,37.846,2.41767,0.009,0.823,69.290,1270.4,0.6052,37.846,0.1537,15.367,0,0
1765382422.399692,5.912,6,6,37.819,2.42116,0.009,0.825,69.290,1271.4,0.6043,37.819,0.1536,15.361,0,0
1765382422.570388,5.929,6,6,37.835,2.42051,0.009,0.823,69.290,1272.0,0.6052,37.835,0.1536,15.357,0,0
1765382422.739831,5.812,6,6,36.076,2.50384,0.008,0.741,69.290,1271.6,0.6872,36.076,0.1536,15.360,0,0
