#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_fixed_T_W.csv", "poses_csv": "phase_b/v2/poses_dotec_fixed_T_W.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "f8ed97686a29d0423f381c06cc257bb942228531fd267daa2844891945dbf794"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "9736191d05aabb632fd2ee895ca3674d0f4aef8ce615de526d190722fdc258ff"}}, "git_commit": null, "timestamp": 1765380512.9418292}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1765380513.066310,43.798,6,6,39.321,2.35749,0.010,0.811,69.313,1401.4,0.5987,39.321,0.1463,14.631,0,0
1765380513.166440,10.079,6,6,39.435,2.39058,0.009,0.820,69.313,1411.9,0.5972,39.435,0.1458,14.577,0,0
1765380513.269560,9.953,6,6,39.314,2.37227,0.009,0.819,69.313,1407.5,0.5987,39.314,0.1460,14.600,0,0
1765380513.383275,10.018,6,6,39.389,2.36145,0.009,0.821,69.313,1407.4,0.5979,39.389,0.1460,14.600,0,0
1765380513.526494,7.535,6,6,39.397,2.36171,0.009,0.823,69.313,1409.7,0.5984,39.397,0.1459,14.588,0,0
1765380513.677250,7.070,6,6,39.390,2.37495,0.009,0.821,69.313,1410.1,0.5993,39.390,0.1459,14.586,0,0
1765380513.814041,7.618,6,6,39.357,2.37677,0.009,0.821,69.313,1408.9,0.5988,39.357,0.1459,14.592,0,0
1765380513.944771,7.488,6,6,39.407,2.36588,0.009,0.822,69.313,1409.9,0.5981,39.407,0.1459,14.587,0,0
1765380514.092604,7.411,6,6,39.348,2.36815,0.009,0.821,69.313,1409.3,0.5982,39.348,0.1459,14.590,0,0
1765380514.390393,5.979,6,6,39.377,2.37537,0.009,0.821,69.313,1409.4,0.5982,39.377,0.1459,14.590,0,0
1765380514.591583,3.324,6,6,39.377,2.37726,0.009,0.823,69.313,1408.8,0.5981,39.377,0.1459,14.593,0,0
1765380514.745666,5.182,6,6,39.385,2.37383,0.009,0.823,69.313,1409.4,0.5982,39.385,0.1459,14.590,0,0
1765380514.883169,7.284,6,6,39.384,2.36959,0.009,0.823,69.313,1409.5,0.5981,39.384,0.1459,14.589,0,0
1765380515.022831,7.439,6,6,39.389,2.37403,0.009,0.822,69.313,1409.7,0.5982,39.389,0.1459,14.588,0,0
1765380515.333913,5.161,6,6,39.379,2.37609,0.009,0.823,69.313,1409.6,0.5980,39.379,0.1459,14.589,0,0
1765380515.531927,3.648,6,6,39.391,2.37332,0.009,0.823,69.313,1408.8,0.5980,39.391,0.1459,14.593,0,0
1765380515.763153,4.951,6,6,39.364,2.37294,0.009,0.822,69.313,1409.8,0.5981,39.364,0.1459,14.587,0,0
1765380515.946325,4.207,6,6,39.409,2.36477,0.009,0.824,69.313,1409.7,0.5982,39.409,0.1459,14.588,0,0
1765380516.101124,6.251,6,6,39.384,2.37138,0.009,0.823,69.313,1409.2,0.5980,39.384,0.1459,14.590,0,0
1765380516.254436,6.030,6,6,39.391,2.36622,0.009,0.824,69.313,1409.6,0.5979,39.391,0.1459,14.589,0,0
1765380516.513706,7.225,6,6,39.403,2.37623,0.009,0.820,69.313,1408.6,0.5980,39.403,0.1459,14.594,0,0
1765380516.797399,3.635,6,6,39.447,2.37800,0.009,0.821,69.313,1409.2,0.5987,39.447,0.1459,14.591,0,0
1765380517.055722,3.431,6,6,39.446,2.37512,0.009,0.820,69.313,1408.9,0.5985,39.446,0.1459,14.592,0,0
1765380517.235924,3.703,6,6,39.443,2.37885,0.009,0.821,69.313,1408.3,0.5984,39.443,0.1460,14.595,0,0
1765380517.379272,6.253,6,6,39.427,2.38081,0.009,0.821,69.313,1408.2,0.5986,39.427,0.1460,14.596,0,0
1765380517.532012,6.917,6,6,39.419,2.37459,0.009,0.820,69.313,1408.2,0.5987,39.419,0.1460,14.596,0,0
1765380517.778840,6.122,6,6,39.443,2.37785,0.009,0.820,69.313,1408.9,0.5983,39.443,0.1459,14.592,0,0
1765380517.966431,4.361,6,6,39.420,2.38432,0.009,0.819,69.313,1408.9,0.5983,39.420,0.1459,14.592,0,0
1765380518.114942,5.304,6,6,39.422,2.37931,0.009,0.821,69.313,1408.8,0.5984,39.422,0.1459,14.593,0,0
1765380518.273966,5.945,6,6,39.447,2.38005,0.009,0.821,69.313,1408.3,0.5983,39.447,0.1460,14.595,0,0
1765380518.427798,7.525,6,6,39.430,2.37903,0.009,0.820,69.313,1408.9,0.5988,39.430,0.1459,14.592,0,0
1765380518.601409,5.539,6,6,39.409,2.37578,0.009,0.822,69.313,1407.9,0.5985,39.409,0.1460,14.597,0,0
1765380518.765408,6.175,6,6,39.421,2.38165,0.009,0.821,69.313,1408.7,0.5988,39.421,0.1459,14.593,0,0
1765380519.030331,6.109,6,6,39.405,2.38290,0.009,0.820,69.313,1408.7,0.5986,39.405,0.1459,14.593,0,0
1765380519.355891,3.585,6,6,39.443,2.37905,0.009,0.820,69.313,1408.9,0.5984,39.443,0.1459,14.592,0,0
1765380519.620879,3.090,6,6,39.433,2.37813,0.009,0.820,69.313,1408.6,0.5986,39.433,0.1459,14.594,0,0
1765380520.206363,4.274,6,6,39.413,2.37539,0.009,0.821,69.313,1408.0,0.5983,39.413,0.1460,14.597,0,0
1765380520.541466,1.645,6,6,39.403,2.37806,0.009,0.823,69.313,1408.3,0.5983,39.403,0.1460,14.595,0,0
1765380520.950751,3.127,6,6,39.368,2.37783,0.009,0.820,69.313,1407.6,0.5990,39.368,0.1460,14.599,0,0
1765380521.198511,2.464,6,6,39.367,2.38342,0.009,0.818,69.313,1408.3,0.5988,39.367,0.1460,14.595,0,0
1765380521.674303,3.782,6,6,39.362,2.38083,0.009,0.818,69.313,1408.6,0.5987,39.362,0.1459,14.594,0,0
1765380521.913155,2.139,6,6,39.376,2.38268,0.009,0.818,69.313,1408.0,0.5987,39.376,0.1460,14.597,0,0
1765380522.110314,4.235,6,6,39.326,2.38147,0.009,0.818,69.313,1406.4,0.5990,39.326,0.1461,14.605,0,0
1765380522.312447,5.040,6,6,39.333,2.38280,0.009,0.816,69.313,1406.5,0.5985,39.333,0.1460,14.605,0,0
1765380522.502089,4.972,6,6,39.299,2.38483,0.009,0.815,69.313,1405.3,0.5989,39.299,0.1461,14.611,0,0
1765380522.678439,5.084,6,6,39.273,2.38275,0.009,0.815,69.313,1405.2,0.5991,39.273,0.1461,14.612,0,0
1765380522.828518,5.946,6,6,39.285,2.38548,0.009,0.816,69.313,1405.2,0.5990,39.285,0.1461,14.611,0,0
1765380522.982348,5.956,6,6,39.302,2.38773,0.009,0.814,69.313,1405.4,0.5988,39.302,0.1461,14.610,0,0
1765380523.112974,7.511,6,6,39.321,2.38244,0.009,0.815,69.313,1405.7,0.5989,39.321,0.1461,14.609,0,0
1765380523.247684,7.622,6,6,39.275,2.38975,0.009,0.814,69.313,1405.0,0.5987,39.275,0.1461,14.613,0,0
1765380523.381350,7.646,6,6,39.307,2.38779,0.009,0.815,69.313,1405.8,0.5985,39.307,0.1461,14.608,0,0
1765380523.534717,7.389,6,6,39.323,2.38678,0.009,0.815,69.313,1406.7,0.5985,39.323,0.1460,14.603,0,0
1765380523.689802,6.167,6,6,39.307,2.38579,0.009,0.820,69.313,1405.2,0.5985,39.307,0.1461,14.611,0,0
1765380523.859811,5.826,6,6,39.293,2.38694,0.009,0.817,69.313,1405.0,0.5986,39.293,0.1461,14.612,0,0
1765380524.261647,5.932,6,6,39.322,2.38797,0.009,0.818,69.313,1404.9,0.5981,39.322,0.1461,14.613,0,0
1765380524.539832,2.402,6,6,39.297,2.38657,0.009,0.818,69.313,1404.9,0.5981,39.297,0.1461,14.613,0,0
1765380524.759418,4.025,6,6,39.332,2.38474,0.009,0.819,69.313,1405.0,0.5984,39.332,0.1461,14.612,0,0
1765380525.008111,4.285,6,6,39.334,2.38903,0.009,0.817,69.313,1404.9,0.5982,39.334,0.1461,14.613,0,0
1765380525.177782,4.302,6,6,39.271,2.39588,0.009,0.816,69.313,1403.7,0.5979,39.271,0.1462,14.619,0,0
1765380525.317137,5.995,6,6,39.303,2.38492,0.009,0.817,69.313,1404.7,0.5982,39.303,0.1461,14.614,0,0
1765380525.445544,7.409,6,6,39.323,2.38863,0.009,0.816,69.313,1406.1,0.5989,39.323,0.1461,14.607,0,0
1765380525.579326,7.531,6,6,39.332,2.38288,0.009,0.818,69.313,1405.6,0.5988,39.332,0.1461,14.609,0,0
1765380525.709232,7.594,6,6,39.324,2.39271,0.009,0.816,69.313,1405.0,0.5987,39.324,0.1461,14.613,0,0
1765380525.851398,7.419,6,6,39.310,2.39464,0.009,0.818,69.313,1405.5,0.5986,39.310,0.1461,14.610,0,0
1765380526.011313,5.988,6,6,39.299,2.39191,0.009,0.817,69.313,1404.7,0.5990,39.299,0.1461,14.614,0,0
1765380526.145747,7.511,6,6,39.306,2.38887,0.009,0.817,69.313,1405.0,0.5986,39.306,0.1461,14.612,0,0
1765380526.277658,7.596,6,6,39.282,2.39354,0.009,0.818,69.313,1403.8,0.5983,39.282,0.1462,14.619,0,0
1765380526.406885,7.506,6,6,39.307,2.38967,0.009,0.817,69.313,1404.0,0.5984,39.307,0.1462,14.617,0,0
1765380526.543483,7.462,6,6,39.321,2.38360,0.009,0.817,69.313,1405.1,0.5986,39.321,0.1461,14.612,0,0
1765380526.680495,7.349,6,6,39.301,2.38583,0.009,0.816,69.313,1404.9,0.5985,39.301,0.1461,14.613,0,0
1765380526.835203,7.551,6,6,39.306,2.39013,0.009,0.817,69.313,1404.0,0.5982,39.306,0.1462,14.618,0,0
1765380526.986832,6.001,6,6,39.315,2.38927,0.009,0.818,69.313,1404.6,0.5983,39.315,0.1461,14.615,0,0
