#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "bench_print_every", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "max_tilt_jump_deg", "print_tilt", "ransac", "ransac_base_rot", "ransac_base_trans", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 80.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_fulltest.csv", "poses_csv": "phase_b/v2/poses_dotec_fulltest.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "fe24fb1afd868ebbf0d17c89865e0023b67ad83c862b7efdc4fab8598a079465"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "9736191d05aabb632fd2ee895ca3674d0f4aef8ce615de526d190722fdc258ff"}}, "git_commit": null, "timestamp": 1765377905.057058}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1765377905.394570,38.050,6,6,53.795,2.17658,0.006,0.775,74.111,2716.7,0.6111,53.795,0.1051,10.509,0,0
1765377905.602145,5.029,6,6,53.829,2.17134,0.006,0.774,71.165,2718.0,0.6112,53.829,0.1051,10.506,0,0
1765377905.801236,5.327,6,6,53.780,2.17415,0.006,0.777,68.906,2714.4,0.6116,53.780,0.1051,10.513,0,0
1765377906.108920,4.201,6,6,53.776,2.17499,0.006,0.777,67.207,2712.7,0.6114,53.776,0.1052,10.516,0,0
1765377906.353104,4.370,6,6,53.738,2.17608,0.006,0.777,65.936,2711.0,0.6110,53.738,0.1052,10.520,0,0
1765377906.659402,3.304,6,6,53.732,2.17714,0.006,0.778,64.970,2709.2,0.6112,53.732,0.1052,10.523,0,0
1765377906.910241,3.741,6,6,53.724,2.17677,0.006,0.777,64.245,2711.2,0.6117,53.724,0.1052,10.519,0,0
1765377907.136387,4.345,6,6,53.728,2.17549,0.006,0.775,63.708,2711.2,0.6115,53.728,0.1052,10.519,0,0
1765377907.376337,4.209,6,6,53.743,2.17729,0.006,0.775,63.298,2711.3,0.6115,53.743,0.1052,10.519,0,0
1765377907.583551,4.280,6,6,53.732,2.17614,0.006,0.776,62.963,2711.4,0.6112,53.732,0.1052,10.519,0,0
1765377907.776313,4.973,6,6,53.774,2.17376,0.006,0.778,62.713,2712.3,0.6110,53.774,0.1052,10.517,0,0
1765377907.964652,5.050,6,6,53.754,2.17306,0.006,0.775,62.542,2711.9,0.6112,53.754,0.1052,10.518,0,0
1765377908.191970,4.866,6,6,53.761,2.17681,0.006,0.775,62.407,2711.8,0.6111,53.761,0.1052,10.518,0,0
1765377908.412734,4.433,6,6,53.763,2.17567,0.006,0.774,62.316,2712.1,0.6113,53.763,0.1052,10.517,0,0
1765377908.594918,4.798,6,6,53.737,2.17626,0.006,0.775,62.248,2711.3,0.6112,53.737,0.1052,10.519,0,0
1765377908.787007,5.198,6,6,53.745,2.17501,0.006,0.777,62.167,2712.1,0.6112,53.745,0.1052,10.517,0,0
1765377909.021507,5.900,6,6,53.720,2.17573,0.006,0.777,62.110,2711.3,0.6113,53.720,0.1052,10.519,0,0
1765377909.244988,3.755,6,6,53.744,2.17369,0.006,0.775,62.086,2711.3,0.6113,53.744,0.1052,10.519,0,0
1765377909.433012,5.039,6,6,53.735,2.17656,0.006,0.776,62.055,2711.1,0.6112,53.735,0.1052,10.519,0,0
1765377909.623455,5.010,6,6,53.735,2.17647,0.006,0.774,62.039,2710.9,0.6111,53.735,0.1052,10.520,0,0
1765377909.822715,4.976,6,6,53.741,2.17615,0.006,0.774,62.043,2710.5,0.6113,53.741,0.1052,10.520,0,0
1765377910.009404,4.988,6,6,53.735,2.17448,0.006,0.775,62.048,2710.6,0.6113,53.735,0.1052,10.520,0,0
