#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p_noekf.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p_noekf.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766331459.727204}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1766331459.882276,0,106;107;108;200;201;202,64.341;68.164;59.545;56.548;75.652;67.742,-1.1530125692509376,1.005485788227806,0.5245448485093726,-0.18159250895963094,1.0817510160267831,-0.16511949178038016,-2.4095120006932307,0.7532686625998645,-0.5129604392113234,0.6236923018607017,1.0139979025380843,1.6942710605005744,86.352,39.538
1766331460.010750,1,106;107;108;200;201;202,31.319;46.615;36.102;33.156;51.338;36.059,-1.145982580070931,1.0026088063984837,0.520039095693687,-0.17193876427433102,1.0927842224094118,-0.16737757109447196,-2.411468112020023,0.763640819227244,-0.5148290810356182,0.6286383668923001,1.0251157480044952,1.6935918996185262,85.972,39.317
1766331460.145244,2,106;107;108;200;201;202,62.990;70.246;58.944;59.932;74.906;67.785,-1.1362271383052862,1.0035079217811098,0.5232715372480822,-0.16831508029166387,1.1025733614985695,-0.16890033584350547,-2.4181268936768756,0.7696334906113081,-0.5078395667675035,0.6369104072405106,1.0354164202552174,1.6892631667195395,85.580,38.798
1766331460.380605,3,106;107;108;200;201;202,63.088;69.942;59.887;59.945;74.677;66.736,-1.128730569012122,1.003355102075169,0.5252772460171743,-0.1650393668475394,1.1106767427694832,-0.17057940896552892,-2.423313031536943,0.7746851579846272,-0.5035169014467927,0.6435302270160488,1.0441137131023184,1.6856671217133679,85.250,38.405
1766331460.471794,4,106;107;108;200;201;202,64.182;69.119;59.076;59.339;75.176;67.209,-1.1228945650982656,1.004529440898859,0.5266417568244206,-0.1623341104121723,1.1169125790103511,-0.17170140537343268,-2.4265900673812215,0.7787282345539066,-0.4989230996235097,0.6486417762312644,1.0503370988887704,1.6833281129163664,85.044,38.114
1766331460.580759,5,106;107;108;200;201;202,63.749;68.987;58.357;58.575;74.178;69.070,-1.118446668917928,1.0056524145947066,0.5283271872964045,-0.16075503082793577,1.1215246511963501,-0.17179259474169678,-2.429399445720359,0.7812331800352268,-0.494861455153055,0.652242971261002,1.0547929392321362,1.6818813951327276,84.892,37.878
1766331460.711255,6,106;107;108;200;201;202,64.132;69.608;58.139;59.380;74.518;69.537,-1.1151473997783279,1.0066537549068573,0.5294958468404284,-0.15944825959670597,1.125186914884739,-0.17201982544496,-2.4313428579665595,0.7831516378080444,-0.4917112661654494,0.6550408414117881,1.0583006989258372,1.680868635417935,84.787,37.706
1766331460.795257,7,106;107;108;200;201;202,62.275;68.547;59.501;60.416;75.351;67.529,-1.1126438081703998,1.0061056257981946,0.5298313933285838,-0.15777395665881583,1.127818118532528,-0.1726451690658493,-2.433081157567814,0.7851512848977349,-0.4909083640955258,0.6569307620072252,1.061425411845636,1.6794004832204878,84.661,37.579
1766331460.869768,8,106;107;108;200;201;202,63.605;69.713;60.522;60.076;74.254;67.337,-1.110590472120048,1.0059279420901264,0.5304814614144786,-0.15665572928045246,1.1301393978042893,-0.1729021244343064,-2.434624067592193,0.7864505469444595,-0.4897882499755323,0.6584911760519822,1.0640399248801264,1.6784338048572138,84.566,37.468
1766331460.945876,9,106;107;108;200;201;202,64.298;68.397;59.788;60.242;75.494;66.801,-1.108878132369565,1.0064830801071942,0.5301587299042835,-0.15539786528544575,1.131864651695601,-0.1735533233546666,-2.4349929108997452,0.7882561788658718,-0.4885695772809352,0.660075791430218,1.0656106025261043,1.6777105416593292,84.518,37.403
